,TTF0,TTF1,TTF2,TTF3,TTF4
171,288287.2297910098,287422.986402956,205194.96306163448,209714.15147800758,267402.7114494676
172,301856.57836405153,219122.55817188564,310810.36754765094,393228.18165608536,281451.89656409156
173,213178.4136933198,201850.3211371489,171861.74056228105,344857.1212876206,190812.81550561375
174,278832.59301743493,308517.3456085068,170382.62414250732,421621.7796595101,217166.0298913374
175,129914.10574611872,276746.9422547519,349603.3921416812,269157.83004119014,174530.3117428848
176,244795.8172734164,217972.89522139562,317613.32475517975,218001.62538635934,267814.52992030606
177,154387.42067100032,213777.56283857662,172842.0670034814,261984.78109789523,219760.5469594088
178,236143.56205119257,273317.7513040619,248150.99783946772,280878.19585036644,231126.6516259139
179,254971.71802322232,304674.7700414981,239054.5751942486,266142.2058111311,333896.24937733135
180,109637.50448795117,115092.08238366408,232728.34305404537,183187.92660116326,218305.03075128235
181,344846.674102342,123230.80533236756,240125.98641868832,255425.19349754724,234474.00776723784
182,219190.55024190785,308069.7900789808,283591.3943122581,506332.3858010689,276469.09471404675
183,190189.15963574866,229527.06334165717,191872.18452180235,152155.00340187576,257172.02352264413
184,110493.65376529282,256295.8343164682,466329.4444074213,364517.55890655896,331108.8918454626
185,33539.82725528043,135975.0190606053,196552.1053366929,267121.7942934346,244101.26025456344
186,381667.8742952041,149600.9879563811,330688.52435513213,230006.1484650626,330155.839106281
187,192958.18069274555,272754.4175046074,284834.3054548035,190560.2047892375,316573.17452356475
188,146363.41145191318,211557.1085220407,315237.82604133687,295294.9262569514,271192.16533147305
189,270198.0363371989,272596.5153715669,258072.49641545746,323094.3327654171,247578.6197341049
190,302518.11005366815,174574.23502788396,378629.7046190044,226713.9458960924,311548.6416200247
191,421153.65810262936,467905.78039040626,368409.48551315337,314538.9045040691,353891.6085342397
192,237139.10716147834,254801.16196800146,203718.80583474803,323516.59334616025,392206.46957094496
193,175246.72012631327,234293.22942809784,335535.8584223266,187115.7441153149,262072.008863345
194,211330.8202020786,165897.31025191591,351533.4843046778,202850.7782954813,367864.7071527699
195,279853.6406173915,280651.253812592,249377.01653940466,391568.28057582,252049.19299025656
196,346019.76143525523,274907.5201635496,246205.9561144663,477163.76023622137,215259.97061192672
197,237664.25380270672,314386.91861582245,237705.31927167228,289182.8433798644,227042.3817625335
198,223010.08955823784,203380.36636380048,250281.29291254104,289104.5386026377,356907.1857036133
199,186515.70033933158,296997.2595009691,347699.78940100654,296372.38954422507,383793.40242835565
200,239505.5221560581,291219.08768338047,252818.26869914233,262675.29635167535,234694.3853131524
201,198445.72788336966,184569.41130691167,191099.15511522978,434420.44522721565,384111.03249495506
202,207692.78249221656,224086.97077079662,208095.23508063244,206463.40266898775,259752.78378848685
203,154009.28414703615,216612.9674778066,309078.65178476163,214952.7493550201,284617.4921056608
204,196721.57015194232,198532.92653968447,363787.3348015173,379893.59012725926,290932.56324952265
205,315569.7756788861,176222.07676055998,231564.34000643602,227238.41942965507,242261.69208451934
206,134170.88808030292,265060.70240146643,199067.77068729678,305980.69899533014,309831.217285848
207,143626.2091405337,252953.93788070526,292067.03455322096,286474.1570873476,201702.74887375563
208,128903.23376385926,211720.7269304822,134589.2704845441,264670.9299841417,330651.4053190825
209,182341.37849172097,208012.0132547209,325935.4284785773,270561.19707039464,304038.2207816267
210,89789.52251294622,321295.46894367365,296863.29200938327,265324.0605536039,179554.16328471314
211,258290.92506651644,215784.22045272918,172382.9042723294,149103.5429082758,330081.6662422826
212,374917.27459046734,198026.31150971266,194015.38725726184,180022.2955262206,343225.10620690515
213,242434.20095057762,189856.18911558844,274116.9293491264,506282.00929670874,288787.7784023544
214,385312.6816272937,231724.37509481225,214709.4724786906,241876.05270437672,416412.3995639753
215,326556.7390343308,203477.76833908426,112828.90900932897,310738.0283100019,247723.3131419252
216,178589.82442008494,276448.01055470755,404758.353764456,255822.62141693314,274918.0009682444
217,238799.25002521582,222427.96567776502,329048.5696277546,258021.6732270051,164131.33307997498
218,224534.21803118705,208387.40503715945,266031.98034725327,206751.36442760177,305534.2165351806
219,108366.08418156965,439796.1639267255,304896.8816358523,333150.1465372052,246262.53563176846
220,200072.57829250325,150007.18781318117,332645.4638298349,193706.63772458103,281361.4381637613
221,281123.6429704327,379938.721770113,351725.96328901715,260791.08376174772,441735.7544998982
222,102791.19846869359,241232.6990565622,232129.3560499716,233187.91275592064,296242.45317619917
223,141875.43092437478,256536.03933998293,225641.7867153292,293788.6261810049,353452.3149883751
224,129274.49487524411,248162.85882947745,226083.3737851155,258852.76557603458,372385.55734480475
225,240405.08473629417,198583.18551710638,327022.5706650997,300852.9072042713,252708.33339114164
226,232106.65104039697,162428.41608889643,328324.97760118544,189062.1052414498,250444.49144112042
227,188799.86099268007,261586.82508393197,365656.94716748426,366355.5515453416,170706.00573738522
228,102349.84037920038,314778.42534550093,218256.468390859,239876.88995117767,325202.95984049817
229,131256.8667306282,216310.74721386365,317903.95945916395,188105.1058284602,198568.2412951063
230,252248.43582935963,269351.85528237396,220691.40245663628,304444.18640093796,325043.76559650106
231,199713.6767122018,314350.008400208,235064.53617396948,368824.4808934019,279219.2672837135
232,348947.9044602873,228075.12120639914,311670.0666423565,282027.8006212936,291959.7066860589
233,95724.42914646388,237445.1612112181,266404.79133650236,205274.8396768202,299016.66441750317
234,121829.99811574261,386199.94379229,185298.57742214733,477077.37246414844,428747.84040487796
235,212369.35408520343,216568.00074841533,243502.44059090147,230220.0883549363,414492.973049641
236,331472.4478682015,225847.13548184218,234712.77341061103,374890.79105299583,356337.38042092195
237,244489.03152616124,127869.98484303901,244224.1925201106,253779.2700718699,317357.3959704698
