,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9
83,146009.2428006219,173317.6830312707,49242.20341605708,130561.1028851283,207940.69161229662,212576.08143528356,164829.44234903489,68293.14481766826,143126.7803364505,94182.76561630485
84,43837.90658812583,183309.1401283744,180086.763803913,105407.03823282749,36332.21130354827,44202.367613734794,99196.80962250612,41008.998548225645,124994.54471053566,72157.26143555032
85,98635.06444342794,60526.84121294857,95798.51489458828,12275.24398224293,130154.34502534503,7962.6114513754255,21210.001680200992,53958.31343000058,44940.32346338586,112528.85680774135
86,95828.8509688231,174210.01306574704,46737.50487977851,248576.00920177347,101472.01531063502,283206.4365388199,81978.33744281363,294583.98756719317,46128.39200711876,93696.6188132128
87,271624.7527350504,161478.2689719047,213908.01596563644,82852.73021824376,27422.226190707723,115843.64039895748,122997.14284889579,68407.98550082278,161202.28953858154,45506.72012471911
88,49306.66429666869,90472.65556718496,77971.4764590168,126655.77503580617,130847.73558154401,77023.21315213888,155746.02288165517,163238.27529331564,61655.42254618715,207791.58709986057
89,94954.81655374251,72340.42703985849,156648.4937231004,81274.86031749891,69057.95272789766,226603.14574348019,94203.7347436113,24585.88465522457,92700.87400518621,216487.65883197656
90,141535.6855085778,79203.4923812134,156124.00384121918,63445.17730698441,99551.65707089526,98731.20336722088,253184.2978938658,120902.87773456228,171234.83075287487,111070.76504650043
91,142763.91028032932,140878.2258555527,259566.72798789974,114319.88800042463,146249.3643818418,64292.446373581624,231830.5806245536,164540.37372084998,115865.82707929857,91180.5915572328
92,63295.57644231339,41005.276043261496,47889.639494408984,185466.02605017845,115969.86790193118,93246.41042740454,70021.03002549663,205596.9580795775,216331.2086522299,11461.788372702447
93,78786.9788204773,75140.72960933903,118047.00101382089,229547.11616986446,79039.25877183533,82829.2073176961,122451.5013946139,173005.39497563985,74619.88776897965,115789.90962999203
94,142060.93154247297,15382.950404868481,44429.586353946266,150165.13298618412,137929.8044919688,26646.101297584948,109778.76628001426,22883.325502312662,198511.38368795623,137093.01887357395
95,117826.6372108873,52361.41316055372,253514.66498118162,118540.26084570271,112435.5641583921,46631.85260949604,137175.32821539725,99095.12530254727,38746.21766282121,109791.97083682782
96,90885.13435706029,183085.25087798986,95869.41399748197,172124.4056878281,319295.49066340935,124505.92159598555,195159.02852104508,104694.43242130961,64865.31139147162,16148.306731131113
97,123030.01680048919,127193.60445024753,215111.6422886881,93318.93431755547,141260.7182046799,160294.40511522646,345209.09045886225,89354.58331662024,206097.8508613832,133364.60819162495
98,259069.0394658751,165182.16013184158,60775.01709206839,89348.65153302031,47461.12340862163,79120.07738870905,224518.3503781181,108281.70073808951,291917.2492393491,99081.39652513097
99,12033.971760904182,199078.01627794845,30558.510152704654,247530.80849171212,217332.51632944494,110631.31262946704,48624.54122896,162808.18577924572,288893.1209709502,32558.79922780208
100,192537.5965842422,52661.96057709228,111737.14566266796,48267.00126573784,109125.67793432258,221932.01451835697,50524.065247761115,54346.04452087887,152574.09801468469,62251.97652378658
101,29718.769367506568,135205.52634717134,96809.8292889648,124749.98404006091,72791.2499906853,205091.106708794,133089.89147832707,158349.88113856575,205233.15528417393,181324.33514274235
102,240305.25791593437,149514.54421543516,155650.70590861546,102052.05062013479,217389.8716550986,168363.77888674868,70164.50131129232,187170.65418021294,83517.15902741748,116398.54820767078
103,159027.2882569519,198037.62702165867,296247.64602283697,177493.96636063044,38059.358952856834,102371.84671717815,59869.5179065226,52169.4731644823,77639.32111236251,78095.42507536104
104,175868.4201524819,166617.96933363797,163884.99081522337,110664.01834663552,172528.23689470568,147270.18825762763,137254.80432822186,151078.7518864757,88614.62100930081,164655.04080218228
105,337183.2323317286,150819.15675798318,174001.38489452383,192073.44411513445,216468.36144461055,70605.61429526852,106506.52530564694,115568.71122724135,137998.8429472461,242508.3571864215
106,137644.44954536864,168903.61788274194,174675.78049910962,140880.26650049974,209167.3836558629,208985.9364756652,152823.93978729748,180944.6833520213,133586.0136096164,51125.52941674824
107,138201.3182415183,55814.06743079528,198310.5163811426,68422.85998644018,170962.91688528954,295757.5361067711,166787.27942744436,120017.35855118417,132612.95914550647,53986.90557710407
108,42602.83406890846,303854.6138123557,147208.70270716186,110735.0165928583,127138.28047131198,85107.12935526925,60228.97630615966,102039.62658881639,93141.42331383082,201064.84715756885
109,96159.0081776385,37578.866153725634,189907.12748007115,87652.54944828233,183893.03899610467,159140.84387590276,48460.40549528832,77677.34956154694,144785.0902584017,100865.68545668022
110,49236.77795765937,32177.730147353686,74042.21617568813,103573.77214544016,316091.76717505086,232721.28213762812,239650.8755191951,63892.15514413035,61264.7516580283,191812.22131872238
111,127268.30565783313,60274.44078406031,40864.69334914683,49897.95239791358,105089.2438738318,166977.18610566872,61554.740215620004,18423.038942148516,103906.75310369222,127730.26935866245
112,171714.3041917967,214868.57459071215,33370.62137693928,146151.82575362537,123313.03442556683,131065.26876971102,63031.27826469974,9528.494092949632,107992.09094500908,103708.46362394569
113,165080.35403317265,106564.99906066436,42165.239045049064,86972.94347435888,143852.11887522155,158967.89713349377,66943.51725164313,27625.55295687671,116514.27372994083,88621.13881161116
114,96595.55605354172,193829.93280080677,117600.75729339567,121200.82549698594,138830.01277495013,131616.35861492768,37895.55264792476,188016.96906528165,219435.73413850172,102641.49051830718
115,237682.97897386114,206175.48170416165,113574.75485230958,245019.0544956395,49936.702438956476,78932.53491385217,95995.95871921227,51993.52904575807,214319.3843529338,63365.63743858248
116,244292.90264118358,238595.02860416862,57134.925783449966,285855.05793569965,38141.03381468113,122744.57827799118,107771.17671283903,49410.480993972684,180523.09032791742,79539.3296167988
117,154259.62962681823,22822.363227474678,204452.78439402612,140991.7212795279,134234.52793892688,129429.9019731224,139354.67874972383,82687.06526341004,55870.85057861784,129540.27643468154
118,44821.70682092472,159138.55059139614,277450.81696846767,130651.81839302302,101883.97313313812,111040.13218322601,102453.50187807712,63090.500857511,88950.87408750861,132033.161007877
119,188581.43381752592,128725.8266322348,247525.6705889313,101796.37423172234,152620.70468700305,191687.99651305098,164376.42878876743,101006.04386585871,80394.77194372492,88727.0451471115
120,37396.37312309084,181150.405132033,221963.91288639302,93166.39359846563,21831.23147326653,235128.11477395444,191001.657153726,81375.88186560049,101717.62713447973,30847.213487624136
121,107136.68994239785,81195.14369958664,160987.6411988241,158323.63854420936,179592.2693470009,9179.938534308261,124368.0112275199,79160.16373448592,94721.2779245146,103161.00797993633
122,118274.05094520337,78567.57499889619,205647.96771967856,192928.8124467237,60720.50658474604,233839.9575093382,235604.73957482612,208447.2678580471,116503.57444965934,98679.854658759
123,151725.30343099253,76052.06895991237,26144.50075656952,135525.4662710193,202127.296632423,80732.23930089224,150301.8676469137,89381.28214319868,123266.88046354978,46130.84934923663
124,119569.95788437374,101818.15723025487,232660.44927874775,43373.160820516096,269002.5808708127,62544.678829206154,194582.01261443866,183137.21131673097,147453.09062475825,72378.50157823943
125,92265.13438014228,67838.49188021505,190803.80021927305,35800.76716185223,241036.9366089425,93627.11075072744,41327.336092792335,184381.805497962,70644.6563429004,88259.3613412003
126,136309.21843714858,187856.80643989713,233051.88011267644,106861.4514627536,19416.715237321165,94147.84363021597,215531.70351819636,197799.3742426073,115143.30784200992,71309.75552326789
127,131339.37760122793,124073.27889587879,196695.5659242492,148404.94267402863,184296.41535070242,7625.979968042107,167299.84412210446,160558.7502321691,102881.5049232142,25464.54657182866
128,186621.69193595246,218602.77463845647,121526.97349547774,84708.26096575717,98242.28600702119,223717.74127960252,57030.49809338675,162918.38623150927,45820.028295756085,108893.69124154186
129,249708.3388178012,35857.33291457676,144046.0231689174,58806.7880491256,196473.16132104164,93031.99828973926,47143.685131372535,102364.74046839893,103186.36641123118,141614.55749150866
130,17184.175157674363,302025.88631376857,57400.80230408524,193809.57267396073,127221.73772064284,127374.64222316544,41331.1560725292,125463.52259143972,73516.68869871572,361042.6862350215
131,164900.11680216296,123362.17175348623,89860.31796140656,114527.46499206084,127208.11476897655,122185.11004372867,86403.7001169853,151504.03188082503,86425.45098517789,102308.6698070502
132,77073.44803179818,202197.95238015483,64510.00784199748,243637.0257247656,102597.54172534792,71537.99452607278,82195.783299172,162547.41946547665,114710.79416613988,45068.00921670631
133,119099.12882060082,105914.65446074045,204102.0106271813,70108.84621302375,217112.20110477848,244517.3413112022,72398.83963696676,123237.56690510084,39029.36618306857,87452.5351336073
134,93873.61413115097,135071.33328274297,50434.092255695556,98857.36893635806,78780.35213543187,223741.71739521762,10262.60575177232,22898.199547167158,186065.2695998765,42499.254212357955
135,176648.06326844348,28467.462582405897,43575.582300863454,169033.02078041842,210639.81771110816,63842.06656704857,112784.60963499447,166483.93862679202,137818.96121629773,115784.20919353672
136,172779.085670339,20766.97557496639,166048.8126626047,32205.67873689245,218224.85365955275,30904.595006002404,119751.3811389792,80410.47354564458,40395.769122017795,52341.688912024765
137,38125.13917314066,71073.86796367825,111160.01055119012,89171.15221978012,120460.43286130192,242180.2002328162,125266.84943674384,73791.65942190256,170768.6012231393,95070.03832988116
138,154826.0078402869,93285.28954227737,39481.57034643782,69047.11179159272,170340.04331651336,75108.54865245285,45823.52958989914,152397.568123922,134789.89585907076,75811.07338147216
139,157981.9966083854,131490.48294270667,122917.83964435496,55515.90737883481,59316.90297754078,79212.385629377,154663.86535583806,59084.473504280075,78752.81853709217,163600.37320120636
140,51325.55190207841,31755.34071642023,139158.82397502754,219057.9658046317,256235.8358043735,76242.8199989639,162360.56460724177,54201.42726807804,49140.68957428477,92649.71129318734
141,233875.46514014035,106222.53981062143,137521.960783066,93380.37767428602,109189.72977437438,65712.87723305661,25924.963132685596,76873.87070535567,33495.89847755094,27791.334730488416
142,136382.08343604003,187397.94439567882,72275.86757512971,185304.81472482323,106651.33248394259,188776.91393257416,137032.6998384339,41019.451751453715,150737.68881465564,93386.81055022596
143,155904.9363631054,106758.66521993722,135401.17033253695,173533.76232004518,116350.75851364063,60277.7495375713,195355.75051641467,116378.34981195169,236439.9799159015,12833.686015335818
144,155433.6406716966,99397.85861305892,29295.170763428472,84856.13914085831,108716.90590877128,84716.43254436937,60411.428156821195,151358.05138565,36283.45036557538,41715.75297393586
145,64045.0887096909,98987.53298838889,87870.95862246944,141095.46638890624,115840.01840254868,45877.22298446885,142942.59505162694,109093.2300194167,73988.22591152554,134890.5252353991
146,54312.12135289358,195696.08574648085,156647.22173011999,114473.15705080268,86006.63746805704,301655.2850593919,70805.9375460036,99636.14162211998,218799.65508972856,77861.61505652005
147,142371.1907483098,65021.5428761775,49074.083481306145,128939.3286215195,149703.88937471618,41588.36113312738,41127.77982689921,88557.41543101729,61983.65592799616,178270.45012881194
148,179495.8620786383,231474.8754378533,240002.79577360876,105140.69501414709,127807.65337715021,171583.31811151135,202127.9493064855,165057.365953633,13915.213756046893,192676.278848198
