,ttf0,fft0,ttf1,fft1,ttf2,fft2
60,202979.37680615892,36380.66136640603,416267.8961285827,181823.70460384616,287388.6759814154,180851.61068047883
61,364215.3721555204,307895.34606164,266881.4739878221,80271.35152425373,166830.2276788235,144311.15001855828
62,146724.7951285741,140790.62116898113,157564.54127366177,42059.93408669463,268157.7662304674,180482.30483331913
63,392690.33546382113,56429.72508490436,284860.4480148005,190153.79236571398,153383.12106516422,129342.86695608124
64,328797.3623788911,178767.16442802822,195817.817105459,108430.77198624313,121016.01211308873,78506.70728336422
65,352377.8607705212,153474.53544745978,408818.08337730746,83210.40779867105,305914.97072424076,130566.01892935438
66,233488.57026103875,184265.48738476424,267009.65311896784,141649.09901291353,215653.12298626674,89765.477711767
67,212800.91004689032,85993.96430297781,99997.12682442114,31028.760023280724,260706.3707038662,154892.7347139619
68,571591.9163433114,103104.7226741645,273197.7305899096,193302.23151336267,188132.43186908058,159842.39873474644
69,93835.9094182712,58469.89868990071,250552.14759055545,158954.94484256237,249822.6235673539,181236.43196790916
70,78682.11104308757,71971.87094739602,249363.8905501312,20859.150548562222,201422.63590365878,106557.8954156172
71,123633.86740395523,51368.5450186622,202023.489933099,122655.57323628828,204049.56641561494,152933.55013131522
72,171146.09637669503,164394.91304732536,229776.51245662908,54001.56535215294,236991.8369682511,56105.28922022769
73,365512.5575046445,104215.22652591774,274924.9525016666,162870.1865628389,185840.22017326567,59425.30618146063
74,227069.78334539593,191165.62272887825,226090.83050097828,158295.7373781019,390844.9942514986,111644.79676314708
75,309738.69468279264,286027.4009009092,217357.62003159517,144897.54541881528,362424.0893671947,235986.21456095442
76,368102.098914937,338068.3789603861,310409.65309821314,167593.95970834856,258949.45611019243,18690.137180191192
77,214015.5992620447,123862.44071060461,251808.64555626863,56082.368148312155,247427.78124870366,154743.75190355905
78,261228.3528185653,118307.60368795777,192887.933143408,151331.56141396065,273886.064719446,244597.2079004226
79,283532.12382567115,220405.56017348595,259659.35554690062,214422.50398039204,253533.85555787123,203041.56826425807
80,251227.30133950914,246472.97512039528,234142.04210097308,53333.37590978794,164250.89492860623,146965.03907696638
81,267625.12018486427,92809.82140920921,173522.94269165234,83892.70200651318,303674.26762399887,130338.60709644873
82,132466.249719785,101995.97409834438,290580.71213504684,72549.31428454582,231036.2221210749,111584.26067337874
83,250546.86719990097,130888.6567386275,324806.2231541456,251741.916785954,116425.19022760975,77335.53702309288
84,197023.7606069106,61089.70195577107,101110.272189218,7390.850563576423,207499.24209859996,151029.63990156676
85,138383.69950679358,77368.06899652634,186029.275059789,38712.77264539352,468316.92238902464,144338.93684340236
86,423217.3024350358,172209.52656293352,301803.1820617657,139084.60795434134,213645.31946144692,142885.23633321255
87,162990.50519807515,58357.74021099097,296190.18727386335,107132.36898833136,297099.64814443263,93950.51847063216
88,154834.3234155796,127529.80589639311,87596.68310873321,59873.03171368832,225964.52848182007,123532.03284052722
89,303702.6754892146,75393.27563653162,110373.12353122704,67910.93395991034,117962.59696637203,31501.119301259245
90,163750.47029119768,28524.472214756486,374979.2070186035,194709.74620611107,242047.4375342457,181453.67164003538
91,151514.63984090937,56970.812421501665,313719.6969654219,255385.81874250332,211024.35035349007,201874.17707202444
92,313255.6868181298,80190.18003588049,74776.79588783291,64300.8046773332,181037.5751450376,177620.95024271755
93,219666.9146793818,117310.84224939592,252031.66522309073,38158.59565296741,199051.68972556465,136908.03902382066
94,215219.36848119687,99199.68173925614,317610.05490587436,222581.82869937175,264202.08531125204,176776.60234909903
95,241517.0857655405,158569.52802709976,169351.01712742145,147131.11593159256,93404.54091224106,37191.26166815431
96,429273.8465425498,163890.60003966923,306096.63092016,23546.832698699607,168083.99099828058,73542.53018907015
97,451259.0434430736,303947.3996733024,206105.64508953536,130662.69366182896,450713.2183730204,312878.37245498906
98,223860.3909662074,86670.93251102694,280997.29803960945,139063.11151281447,263191.94466184324,107123.18480592806
99,386297.4418516475,195509.758310351,57474.714360647245,55712.210085525774,190994.86301922324,111788.57566720592
100,210710.14270500047,36620.39712389087,111144.87637027433,89169.99760249979,121106.9747154062,74253.49561352756
101,222959.0995540424,204656.8704301312,118193.72584651869,49259.01658091006,110002.99586707256,94549.490401015
102,148167.73734649795,95881.66557887662,124888.72749451603,119773.34411191386,51609.6046075,49958.10750282534
103,155795.27325981468,103761.22554579955,172930.73304994067,39780.33904466814,325809.76468822913,20284.76845933661
104,154058.85455940216,126729.48959205016,204999.4138915707,155494.74284359903,72053.71964693977,50198.38627040553
105,250475.5082586003,114167.80193085037,115464.06730009707,82003.36718215336,241669.08294076397,110346.72304620132
106,318124.5206730477,215001.15308594322,219145.49957265425,119251.60847704513,300460.63969415677,21142.959124364035
107,332712.2815674852,183597.29332132477,191826.517104578,123523.02130872411,275694.6829458459,187952.43487135286
108,273816.3131669578,270338.69726698013,364578.0342153717,155854.5200966173,175988.561468229,144803.89700050742
109,282697.27821487014,212218.59570420918,203300.65202937243,26134.872152601154,211647.0287254675,100583.73529801717
110,394928.14527340163,256190.13620341444,300302.79580019484,237492.99732798594,126819.31126774791,110678.01058856616
111,140758.27364702642,103140.55922346267,104058.63906561962,47231.79319776085,428980.3129301227,108524.60111568158
112,474315.87535861076,108524.42120394358,239054.84465268577,210248.86000113018,235650.2620544476,62883.122465670735
113,290302.8169555948,167828.1141061243,430549.1202016824,95385.99357622198,136746.81807185974,52713.743854906636
114,150375.44299479178,67162.55677825348,257767.5052385339,219766.941321274,168752.98127234733,126112.34389954753
115,249016.2957434935,178588.33224676453,184710.11615861714,136312.99123624852,289217.6638409481,63450.09953865663
116,202927.72438106814,105625.26824967739,190279.12359263643,100488.62320126004,127211.0394107422,67141.85778646749
117,124746.20609705022,75633.50850869015,187709.4734346798,102717.71919106643,191302.24399731174,73290.65319183908
118,364762.0764628331,60165.70505187778,50317.58132298209,44556.553048330374,198966.9466598322,116066.1370291262
119,143600.8179389722,78732.07493768944,315336.4716857042,49968.40763119839,271275.75641935226,230964.829014548
120,172069.54957370998,53792.2630233446,348077.7356505633,121864.3717265067,94296.79218204558,67399.42505142986
121,314893.21777763043,138659.03856235938,178075.7010221292,95225.92860670203,302558.5214521815,100866.63698352351
122,209842.98805056512,122806.79500913071,220669.5090087832,68996.78144813878,221305.37883831357,99334.33710507111
123,276359.14032315847,134763.6981126213,202502.34918046294,77017.18598507986,244229.08131709183,71050.64434883375
124,240719.08227270097,54923.5140939298,133366.86104446824,110621.82214407403,230295.95292161958,97787.5652056914
125,274138.7744625542,265371.4361679809,196051.11915854833,145237.9397329897,127197.8341520618,98655.08340014018
126,297479.5002517294,232532.07819012448,412397.60533262533,213654.8561593471,212025.74347092758,128178.69797937268
127,144351.95707014797,33247.52399687701,267354.1006324,177493.88313551733,304415.9921265254,216425.34370686696
128,252805.3134971781,104165.0287475691,248091.2600833631,211653.4616694498,268014.9958583604,139694.20828970766
129,231154.152861264,201590.66350748905,168823.9802440475,158106.2614276706,130083.32113638635,110053.79637283729
130,264773.99806811224,130143.96309605135,124051.79411856564,42355.44107151563,58876.3200212647,53585.41281641108
131,241569.04192355945,199735.94506528814,205850.34990831206,190585.9079561579,168921.6645370632,61821.46024919576
132,85176.87184839032,80945.30771736582,185947.39640549253,110298.32128335364,278842.7190281028,210963.68764096228
133,281267.5052934876,220997.32840278797,68354.8664081214,41921.3759004127,251935.7067768949,83146.9485026235
134,259619.26958450556,10028.698739222511,254703.2525419007,127922.46690397488,232417.85742223667,55984.27068969234
135,296993.4346551023,193617.78750905945,180518.03299435216,97138.51639839592,218292.97465911775,137838.11735988874
136,217699.50974796404,67185.54958928144,338416.2933100287,55025.378135680854,335561.8464059525,158825.88448815036
137,288435.4809015821,268683.4723664312,232077.20036104787,133274.77434275573,307038.4776831225,241499.76801498348
138,140194.62110673846,47510.051828872616,207848.40392403008,173058.05499182653,362148.04611290887,54166.24964350979
139,190217.26605231038,36697.2512900684,166877.08306270815,160797.3579673563,192521.52661564774,143501.33666901218
140,130344.80677433216,51687.5258780781,364343.4334064125,145273.9946742392,353818.4682184339,235963.12528458636
141,132934.79383879836,125142.72363274668,212710.64551968707,76480.47163188641,243302.70796723996,196468.02288852533
142,214014.85616687746,25606.067682513767,396838.9763501519,40974.11055993179,269259.49164046964,166300.93068920035
143,198435.97933352907,37221.78909126083,244204.0639035136,93548.57253005478,182236.53478222794,142103.34688810245
144,307827.9106996072,241216.56562534807,324274.8734213809,284933.38989335706,244196.47443374942,145521.0256660699
145,217419.3239070507,201857.4763636699,291770.3559569496,24480.20184958777,255198.4864076598,171302.8963333987
146,326152.8913863083,115729.24407628992,156891.46563012485,120183.05074607294,415943.34991013585,103303.85153123792
147,302946.833664413,123035.83587219469,157443.38908657816,36975.697094178715,242380.38942352985,131883.25340451847
148,324006.19227314985,173649.04733577018,210349.38901505707,65351.44883520716,149651.59325464844,96836.26945854387
149,230289.89924904413,208756.20714657495,230993.7327683858,104219.63230702699,146397.27961916392,123695.70948585859
150,160456.84249527162,60097.266332706735,156660.49850804306,111323.86935129034,171024.28895324466,58389.98006258598
151,161750.9240931205,122872.16423979672,105401.53132511566,41534.60500529031,195708.90697199912,172611.24530008092
152,137658.47913834767,88158.53014881977,41353.70630623481,37769.259253591285,322964.09733226715,66259.3974304872
153,146860.87981660344,114414.13078843086,208623.15601343685,179962.87601388872,339428.0215219608,88623.44963097862
154,211306.72552178547,148396.21788347847,268977.621590346,23491.746564538098,347256.5190968565,163335.39242104985
155,326829.9647824806,274575.4390121841,335778.599423212,135476.65167791524,134633.2292019886,107297.62235697587
156,225210.53718574098,104961.68442220136,219826.35364822528,91863.29732375285,227926.16642966107,67302.28310253375
157,282784.4993298995,176326.72601593606,92909.08328095956,39241.95999536329,326790.6298240176,73958.968239256
158,103797.4539285214,35057.2338820558,144783.7805915043,64163.184261178845,162572.0556650136,133378.98045613006
159,311763.58373277413,86754.06518968484,232767.21492504654,114353.62436858956,356550.0132960646,238124.01388060546
160,269054.4159579297,171820.80467997983,129503.18299311648,67153.75909566085,301121.9927713907,299931.75338686816
161,206895.6281259698,156921.69790702144,63389.197352828945,58416.441911102746,162576.38776987672,112932.57917266873
162,151416.53792995337,117124.73836666184,270174.6076938639,179673.35748826189,152489.46339800692,94813.77857498375
163,160446.0522243,151233.86200463964,259215.17850842627,239549.28849595826,371986.328558678,131208.46562463845
164,163164.19833233027,37344.01005844125,155898.9220555044,123924.40032106994,355556.1498123796,237932.9308111977
165,230578.913149853,111357.61913923766,136060.62207159933,121987.47563231019,279134.5744677877,51320.98194661915
166,192988.92863977398,102264.46033028461,202140.87849171404,117722.14789772882,329911.42132886994,82772.15635983292
167,247696.3071042357,90410.2764690874,194467.89731490266,24820.109304266723,189468.71151707228,143651.74562887973
168,145573.51136456899,125823.8677585297,138832.69524500676,93957.65257892446,237114.3622955222,186707.5796394718
169,325133.19703443465,138619.21750413888,341634.29980455845,93487.24002101898,266767.7162304049,204045.09458486
170,137790.13529101462,93771.59254783348,187443.15535464752,61612.7363562895,269116.881346712,240691.1992142412
171,222628.51853981538,161176.78897016385,220238.51726072942,130378.95085543241,309455.96354743524,124130.0402518413
172,207856.57967597822,138968.22131358404,177313.57686438767,100202.82489335004,114898.77205263881,23354.0015022216
173,467931.5776004345,421475.6862564493,327451.7219169645,34391.431696226304,220661.25174981751,83392.1407562961
174,214816.9560421285,184670.71610036868,83784.92796998865,23475.428906277575,206956.70059425494,171571.98532426194
175,392507.2642392649,215792.93145128785,142814.7239067023,66799.33555298577,224508.43505134177,173557.07736262292
176,169815.18769838865,163938.5498003724,233653.6512890414,171767.90033162714,110958.58426017029,2248.2611103503764
177,286824.86798797495,55123.83238615198,483368.8253852937,243275.05383775104,208948.45628128995,205240.77942136256
178,134248.32920236507,67401.96183945274,321655.6928485447,116986.52658980543,226340.2629796216,93766.47985817057
179,241315.57669259346,237145.67253974677,318595.6085155697,184883.596335444,132575.9415779027,68771.55853814696
180,173560.48511127805,61899.06336550938,228755.68911995462,160433.37733155035,188576.75748041784,62768.61474455388
181,220165.00231043558,175864.67696128727,329613.82233654876,162978.6963728705,272098.2923855266,166074.7372367363
182,231508.99594858868,227809.8521453724,388429.7718419072,214328.7722447126,306676.8953384856,101426.36069961626
183,281736.3981319093,122722.49850860113,533146.0030076271,194194.49719407505,198567.76400438146,180598.963622454
184,229951.74052054237,42957.25901130258,434559.96564848255,160861.65598126556,275639.2260299247,185119.70739245077
185,266161.91758074856,81684.53357418903,382541.4761010398,25108.477084713144,206851.71796023395,99231.44492871867
186,102722.26528298279,57277.46073022299,215797.24012207176,101990.91699151251,212165.47136950202,126416.16413545745
187,239582.9910241714,176572.3946065693,179094.70168477105,99899.49093516596,342518.8124917564,81581.38357369596
188,184156.4655797728,128626.4701979851,293131.08474697336,60333.99826801324,382934.8645281758,100008.21033435386
189,171526.6119549917,134401.21458048664,200719.14003991595,161314.67270952513,257512.33541632263,93217.5024287675
190,261399.24487933482,86607.06536774249,242724.1351889099,156397.41961049667,181614.5659770859,143985.25575682728
191,263469.8060250629,162675.79408760334,212153.91301015654,192457.6715555236,276812.9634456682,124446.60304167276
192,340015.38766014075,259058.31452354832,215286.24092064452,145915.3830749523,116094.57489161711,56947.37412477879
193,286115.7565665471,98765.77966978788,378454.3425932769,283254.1567588869,59797.157126517326,41315.423447082816
194,124822.47226746759,59699.40711975485,357923.75181575125,56417.95557511905,244759.9083791616,123757.56897335556
195,300068.6178752392,102518.27542327468,374292.24119930447,137149.6026413575,110371.35611879829,86148.13174761993
196,186178.12865537277,90754.02123998184,235868.24834200437,199088.73642519038,201569.64706636476,57710.23134393557
197,272549.0406743585,103992.9843931486,527354.8578489674,401544.2270860097,198939.118675389,189099.6753602492
198,351814.7190632872,186609.62508352482,114405.2680400818,54879.425435464545,182494.87854747934,128178.05187716582
199,239662.51589179842,201919.39095728722,299516.26463563263,280635.87357902556,290287.88213253085,81716.48605552812
200,202352.742186281,81076.76657213333,184271.88319087925,165873.48123045376,182822.51534064076,131411.68319959127
201,277934.8662723249,201768.52243148282,78141.60234357177,53947.60126869844,329948.54457601905,83382.50730954256
202,199023.6449007633,114427.20232624262,161044.82946053636,66511.63693077424,145657.78629177925,42296.66067342146
203,276468.9233930205,95247.17590481855,182534.19226872665,129816.56600721297,228631.67987184925,83196.59221989823
204,312888.3668083392,220705.07370951498,322753.7075710117,180234.26367029233,221576.19144668468,96917.44187020551
205,275227.8875618771,121369.87490634854,482848.72433077777,175000.45860898218,95542.39103069261,63886.729069582805
206,143252.2321530453,113257.39666491639,293587.6796783312,42146.42015261428,214426.8693743826,106642.07456624179
207,151314.97693647016,68219.8217388142,179415.98436682933,30782.14281731499,287994.80391264916,209149.56377040656
208,60770.08884701697,59178.382977087706,344965.0414929425,211687.6663414962,122739.63429831863,109081.11119326048
209,169399.2928884572,81445.54593540305,298328.8376672567,127645.89135992048,303814.5684793345,120120.6346492184
210,200409.69913402727,92658.54099279146,388894.58438024006,169708.18405382652,369145.43031504704,199567.68116233335
211,49628.21218713183,7702.913276886246,364592.8750817176,69159.2142298912,280382.47171718435,125699.24088165234
212,225326.94133482425,128609.19927033472,262473.68122201215,210821.2725834852,315561.7176452233,182441.77274783325
213,320816.84307501855,277629.3188938181,55775.61494491225,36085.61608387079,211287.59886250555,140212.50875610913
214,140484.0807587976,114716.5489190454,190316.61843987048,87484.64813991198,205500.810427784,46034.51542379112
215,203641.63773004658,145464.5322848343,60026.01949475042,30400.7889747643,210189.34643318172,196046.83473220444
216,259164.06779338775,252595.98829692675,272044.9770717316,129982.44815293819,138966.83420051303,133526.85723752517
217,275945.60982622113,116196.580160219,228458.25370164818,223225.8251815651,172061.83330290305,133516.28805286105
218,145022.4873838257,92812.04578698655,404675.4034138331,290738.7336674034,324919.9927917729,19300.57485451086
219,237267.66736915364,181246.4862922469,101737.25131493261,27826.06533415522,95837.14324023091,66746.55037797776
220,437902.98942311807,120687.8223724972,254387.8898259552,162030.01701627244,364914.4746039302,172400.93247715346
221,307038.1791216899,229659.6906161703,207268.0415716563,63324.193511021396,284063.1970245789,133930.09891001927
222,131350.6867530917,124901.86212967611,289679.32403791905,51955.60296146907,296381.0675019123,154143.35958301128
223,226453.7480758315,115759.97104866093,151911.9786784071,101906.69662010133,270786.6381980031,128607.97008535505
224,66120.20341438982,55034.139232758986,120095.07646518685,69071.12336184175,317963.3000310564,241961.8698733222
225,204259.87413663542,122061.48506629282,173775.21641410445,60691.82994789042,203176.0704868718,197104.6400487798
226,198350.78456068417,136148.5714942782,233353.80163953404,14491.859885106003,329711.49775170744,158626.86736092228
227,91089.35391726947,58756.102607974215,372488.3819759331,241636.77706758602,316889.0208362279,189126.88120849803
228,315583.95116595464,109551.2840424424,266519.6483383182,179072.6613933241,170796.73942595578,111637.14442248606
229,202625.77612072544,20172.01737244332,290753.98427899764,180463.33263388142,326404.961816613,198789.38728497154
