,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12
24,73831.39194271839,229938.2061148248,219317.78678443233,24946.09481800104,316387.45454891265,139073.6159875266,178115.18163010787,125317.9664980776,14564.996293673114,79363.78283714985,193833.3708995348,178469.37116473002,34710.93492601682
25,111244.88736009876,107673.3461244737,131432.6203175735,73480.15908103046,160619.8833882466,159475.60364128754,106709.38622778618,207298.13334823298,107907.12123319035,106695.43618548673,133874.2185439464,129467.76986533694,142946.17071634272
26,179852.04157376368,163746.06292013632,113033.86697603234,68138.8202550154,107190.2294031312,225515.19773158166,147627.14091267425,225516.98827673006,28077.73785911706,52372.24683576378,208557.60781738005,77298.1578613048,131770.85297760257
27,109307.70192391652,51604.905760001915,149736.74948853668,104105.73257037699,173308.64158167053,19567.33957519,30433.64068407273,67178.2252356442,141990.5417704288,194469.6678117191,221439.32328417845,66268.91501978754,123704.17321580686
28,150086.5402072399,105757.79998256007,172584.833332981,278972.97409578913,95975.55596906549,160134.89558409795,137766.42096643423,125666.7443627101,124712.64291197066,186027.55782337624,157432.12309625998,105738.48925824546,105400.07162922468
29,188300.64763015407,88546.3794703104,130701.27152526907,293843.0798159888,167045.30438856033,167510.01533938383,118561.4964499733,147263.25647260013,94685.484368689,95345.43535326885,53749.70882688846,47090.98746255631,28692.62378980643
30,114601.84664001942,108726.40287674156,102381.68643953474,120494.382457284,115235.41087208886,77514.31079220232,15465.020029904757,88703.86938604117,93411.37310944735,154873.39186694525,22013.509580881266,158596.2283990702,107290.07807372443
31,136637.6288069774,202400.68217630216,187570.12136414717,88238.46105689302,66594.78002538202,192587.22383362264,196911.71052145778,244008.04777566143,79545.30099705179,73810.42718008911,21188.146456162627,102971.78643788243,175197.86502129323
32,80831.89679306319,72207.78969141521,267265.23975541844,162220.86197572318,35772.693431459826,55692.21348877117,193060.64410817422,177118.30995150737,217739.31848288528,238076.61095721068,54999.45724187362,71779.66306380591,165637.44052744395
33,206862.79614319518,198919.90005012992,129285.18914701455,205138.58832538733,120209.53087696199,57033.82730198074,93275.92076266321,113744.86048709798,72345.88286562901,158217.8648547272,178841.55463546433,186373.13128707203,311489.926690548
34,41739.90656149958,66457.53200067522,123009.71461316232,203969.75188670473,150220.34715040782,103397.30552112145,96716.92333553672,129782.5508879387,43186.45168872127,62348.99095140566,227658.88565870564,193382.98224559985,81096.31108484342
35,62232.952352167966,260046.21372224347,188366.34435729164,350281.7417886146,67098.78047861501,98135.09883273412,88075.41664013077,74833.21119144253,73725.33161011896,34067.39838715578,90257.0277826821,133601.8953091373,121857.68596889857
36,127639.46093267435,165047.8385789636,113422.16783213985,159756.533010226,52257.84379697413,203575.0831377775,205972.5560218088,15535.930330041623,68406.80255738892,151949.7968767592,165209.4634575662,229739.05137608136,153072.99719086275
37,94501.25030545352,162728.48732882546,136867.08785382356,169396.28442492383,176811.63540444753,132062.11242929418,157871.0647565192,70333.61705944825,140995.27808038727,60802.631833987696,37296.04523086102,147719.2890242209,223628.6307421002
