,ttf0,fft0,ttf1,fft1,ttf2,fft2
115,309934.5947227471,143632.18439342818,306554.6275318266,187515.52345796325,313215.06516923313,99756.01128907048
116,134271.6733259284,21832.6819140726,61449.80951299509,40065.16187880189,253281.27102946982,63667.71094888923
117,330552.4045046985,114769.54592591249,327738.1156912491,86103.9435778335,230618.45499241364,177793.13276736683
118,171876.92516800246,112643.14941267017,40138.932342191794,34882.59746586923,232041.1515702195,219978.90743076892
119,85468.58618227037,61861.18909952695,292499.5039778175,29018.458555475725,286926.49615360325,129207.21551407267
120,222569.7919987267,103926.71210890799,315311.04722133436,273787.35594585113,317262.7302960619,166986.3469921712
121,273418.81125348527,42727.07497217786,257488.58919657677,126123.4443309127,260101.73716227993,223355.2074550482
122,262156.0940154632,159005.0183884007,206261.58142508974,90424.83921508133,184749.4343591954,128148.48684309199
123,241875.6735530293,74819.84190476943,133497.13861342103,108424.44344808874,115362.22046671121,5101.559784779054
124,205842.9991010325,131948.10396963285,277969.3890401877,27714.99645645647,448453.96889935946,69423.7794444743
125,175458.93605553795,13666.338861484786,214856.14605069315,103129.93970122411,245377.44022508975,59470.38983635834
126,214922.04689403923,71265.58161450751,232292.8707089137,104972.52521461344,208131.37746021253,119509.81538548502
127,205972.00161482312,151542.3187331143,297472.1734816851,139154.59774432992,227977.94808130688,210907.68777428885
128,181889.30206917517,16025.27940001583,238721.34421876192,197956.3003323374,239323.41141112187,224090.68755356464
129,101149.44034128863,50258.93635747338,281272.5118532233,244382.68418096233,144070.18034400704,47835.50977187176
130,201992.7471521385,77706.1427699363,487881.80293483514,103464.07197549316,256967.1572644568,59699.506066755726
131,199236.6145125513,148916.9921066887,189362.7829042083,54195.64286689954,233735.56180562906,179117.5897024584
132,376098.69221944746,299528.3306669162,251519.64746807638,114355.58237715006,226265.8024485561,223961.69690780595
133,352130.2769280663,150670.93331976703,277074.35292143445,64891.2253852141,221860.55410633623,206115.54231043483
134,90045.06850563693,47826.92662489315,213723.12072838185,54166.449343666376,296495.0765254545,85834.0527561003
135,246272.60768463742,182082.78580822618,359898.08039714064,60918.2489080978,229246.36100457681,112027.41951042374
136,404836.52252249897,177801.769166314,310974.5136590727,102909.30782053202,171870.40747820906,128445.92403433112
137,290972.37626819266,75345.41894464231,189746.64815112948,127601.88732653491,158544.52368918448,153914.94257060648
138,217891.01109178027,200682.65808315674,80038.29083100866,40614.66814110219,96932.78157920249,83780.24835487294
139,210803.11576845867,82346.26736644756,218250.13132446515,152854.9142676363,190349.77751980769,22381.86860899444
140,239194.10113984643,209120.3210201887,261593.2838534733,167865.4152821989,141861.4052098524,118726.7398936921
141,312636.82865306654,17663.278420451486,295554.93428580277,129474.83838944616,246614.34537699987,18796.071521431764
142,196286.15716828176,133374.14596078466,209927.67141921265,94174.51631783064,107995.09481046972,83780.79259391771
143,357537.3773308592,236061.02748281125,291427.66413488344,201255.49813067142,262739.5073831935,96176.50711915741
144,265131.43869876914,208469.24003083992,325248.40755714703,153619.40602876575,283702.44927384343,253261.59749179287
145,135892.04724062444,99553.66384501157,307993.79072998103,85454.25182232817,306092.2487492848,171069.1391003143
146,210710.8252955512,39182.783509618486,433676.76961453573,276143.90379327507,321560.41884289426,225787.48295898913
147,106382.42544273965,55404.84017089661,455362.49454188277,192782.5722044071,147337.55017136695,108795.92744401851
148,236024.21034912695,105668.23992505728,213859.9835645571,188575.9553435611,264109.4969946793,84630.52862015399
149,192480.0518064213,168647.7480658207,180796.686398934,135074.27412945754,278147.88896075333,139529.67895500254
150,188820.59437437443,105160.08277375475,354618.8036711109,181145.08187383326,114578.8406165397,84047.4076794835
151,264627.30992872524,176108.91717549562,112704.17183344655,80268.3728688517,249050.48334247933,170109.95717848212
152,223316.34759330942,31076.86581541626,94257.48503160776,76181.0451500578,33803.337628592315,33495.2875753323
153,205574.85690687792,171811.17071998547,317173.292588078,248224.30582373714,187619.38672820572,148020.02819322128
154,371787.8636659527,329708.2926646782,269882.34664081276,230626.65679567185,348370.2346865195,95510.14229545738
155,148967.26436334886,75420.29376909729,323997.0544832214,208068.64146132724,258495.0865006828,101374.06320510806
156,150874.93401650435,120723.74300734956,209099.51792047685,171037.42056497248,208322.10867678473,150403.90560210365
157,445124.58695768134,137589.9171990913,252682.34939194642,74240.17173474733,289906.94069915,141741.45223982367
158,287005.5485985297,210008.04677635658,221568.31237920566,70387.9518406129,387933.1134025081,123316.50137722743
159,212023.89093295665,126589.64915038536,242255.461287269,47765.63568377026,325596.62816092337,68254.9699685681
160,402879.6038389193,216223.6200633662,221839.57104361124,219325.1032741185,127133.71097897532,88329.62341167514
161,246461.83478377704,153117.04233458647,213375.5495901281,148977.67218100716,114347.38154818377,61205.181872767804
162,154963.68275965302,49119.08264295269,146181.3188823827,12135.919659175946,247300.7808285235,51741.36557894697
163,219696.37536955753,127064.2528786585,210702.61164870058,156673.31793153493,114830.4410236247,74679.69463827286
164,312686.5867567632,46188.260001909344,271221.7183651022,48612.727160465976,165601.57901649963,127215.91000797588
165,178869.3725492584,14556.18947434621,139772.88891940255,80946.13010315035,188052.6916364082,118345.89568580005
166,184900.2730198368,92542.3048972579,312807.15281811426,45320.175719251856,204042.08176044602,70617.57168687531
167,317645.3776403995,216309.58653614015,233094.86402450295,194821.68564439207,158711.37982954003,152177.04536177433
168,166798.22156175808,135208.40445690783,106983.82520623603,79212.97257936149,429940.2068605765,123757.6508574798
169,160362.19733597955,46030.01179232651,236053.75872901094,149036.52278239065,283749.30048745987,190402.48175869646
170,221719.54016644845,205841.3391886565,260587.80874877295,73244.00946520538,271689.7115087729,133280.86410057757
171,146006.5979924944,59169.099980399595,198656.72962846977,65176.803253733815,379584.01001642516,130652.7940464165
172,258494.93604180333,140537.44361950588,314684.99742302415,216001.83018861522,309229.00944166945,136496.4168599563
173,168222.0747533154,24485.147506990947,202103.1661697306,56768.64172419746,106503.42652850502,68823.62041532021
174,220606.57005047007,169148.97453435897,185755.73340352156,113378.90228874837,190485.48879726126,140414.43813694673
175,207945.4760915424,94774.01806954447,304515.4102364983,103836.52739922052,258584.13274167033,23398.41527127396
176,181031.57225283122,39072.73412825564,170890.39924815402,92308.05224653732,254959.43644213525,165283.49830650445
177,364924.5595306741,119533.17825337444,266033.10872005223,179751.96452972092,209575.22366375107,83712.00923113663
178,123766.06634822398,107516.23002879407,402118.1221738787,126558.90958327582,293802.51422742597,60005.69709028304
179,239927.9040015558,187694.42027179353,188057.95942100725,140199.00508987636,72292.78498509896,55168.582160887796
180,246212.69816690867,205336.12689807854,390405.18905987486,247170.3293812444,213321.59627294814,141770.98080119732
181,194877.084390061,173899.15528974283,113460.25200656259,86207.12043598812,104639.67267385723,91204.06698274602
182,125446.03710372133,124621.626435043,118825.14385985603,66361.77479684973,213498.45200142745,67648.49294910266
183,95200.58049784592,59519.01859693938,356826.9228833568,176464.87506894913,152249.76215544814,137273.2431243905
184,71490.63472922955,11220.900738373508,271842.483515523,196411.00975866747,314639.483299964,79112.16836272238
185,110517.09792236198,86910.83042708108,351544.3437257416,158419.41424825336,296048.29934813495,57066.65785704048
186,201816.2348967052,106809.04944006218,233314.4566154454,176058.7126494471,297380.40217941196,40222.09531925885
187,246803.62453278655,187463.44191799988,151840.23874879134,108382.27528485651,101368.99864895936,98108.51296883471
