,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7,TTF8,TTF9,TTF10,TTF11,TTF12
83,164486.23426162667,325284.78794641566,175826.83060736355,279143.16109594866,366971.68193524424,148047.20885937728,430428.70488597115,327614.50227847113,189679.22314254055,180901.0121191116,323714.96865392546,324976.4248267935,231537.99459973376
84,255232.8054735479,292696.7323545204,252519.27718345638,225174.25752478855,212477.67109477334,227672.95977794897,153352.27082830574,169525.86286672542,162795.79187034565,259803.77273855754,183915.76584346703,167758.84225227177,146323.44575213717
85,324780.10473051306,193579.56893328537,421740.9159687569,214987.26505682015,237427.09471137376,321768.6383402413,211008.95944231772,182787.62085797518,215206.18667893927,364773.2909742595,274644.85817402316,176918.6668806292,248616.73734801632
86,398947.35530618444,145700.7770057479,115594.798153835,268438.9174894204,97716.03874016495,242240.29384844686,230662.57253176466,401952.4060835918,130092.43261251666,216883.58476709586,110389.06785987203,221778.1013012117,266673.32565404533
87,87073.2406627803,205679.17465237287,355650.8603866957,170153.8073275726,303586.2263135564,94739.17188255739,268012.47202377557,175233.61677714117,128529.55874915142,62172.62105405449,368620.30649372184,164522.92155222024,146502.76898983752
88,159821.4887703748,146654.6807369085,167721.44911559764,280293.034330735,152733.52434529545,266001.67350688146,305742.4518061306,211717.62139745773,214195.45632108874,207938.6473818717,362507.8745159488,210240.12519328302,374376.8552757435
89,245089.32931408277,231174.37266302237,224918.54732689972,204431.79716227547,220757.33368550116,157318.59323348032,173117.8089231285,274075.0785256575,69571.09125882376,193739.28443780742,237081.99846107032,460787.48110433447,228315.5297036248
90,160175.05678636,330308.6420990719,206457.53771660128,164562.56775103288,93334.44841845571,234801.56724182755,217060.47137666706,151368.73607308534,180943.36385894145,225808.6689290306,225337.40563907954,272061.9489060511,205046.39712194147
91,178015.72322843672,114758.54270308971,256331.30705044803,216661.35851354396,104958.86849042204,129068.20757310258,358358.5406705642,212137.2310072489,92012.59021896734,149036.2544397649,261689.3198129198,322553.0447906549,286009.9309616692
92,213802.82691919297,426042.6126041502,209564.27075953974,193744.8038117795,117363.84447543017,235070.19342197783,119853.02280041922,359012.16629851726,360936.8432400155,262547.6900123836,291974.5768629709,228939.4888851942,172278.6965167275
93,231866.08805673476,157065.11166677746,207759.12408910308,140766.97788595658,268925.1760670213,256687.74626795456,325594.4035242099,155606.7869405874,281559.3658865895,199696.29695205466,255842.63515027618,277250.36466818035,136920.146271768
94,208766.24681530977,161126.44907478013,279086.3353617521,220473.71607284422,242103.39437503592,187900.99566572564,139736.24568401836,327313.84343187767,254797.78289084104,428949.8319007701,135509.19946228934,259270.19840632976,231507.54070144836
95,93017.1923457529,201292.0497729754,231582.42365263362,180725.24177019353,230129.14600321776,266923.34910009755,142396.41264374537,214382.76548733932,129448.13409318184,249870.9145153776,257678.73368968442,238439.01459820033,399451.650183897
96,106058.42119157799,120974.21931964342,235896.54014216637,281500.3976559237,185023.0376408529,338782.80965854984,154999.75075439882,287893.0447877709,294181.40425138886,121882.11563103601,273856.38823624037,191036.61826328555,168388.26340496293
97,219960.77045283993,272688.62459906563,114121.2826281236,117592.78208888252,223676.25314129062,341953.5414647979,47660.900327327356,346487.7815815809,367426.8744538557,171188.85952864727,342286.40539003303,227873.34971060496,122933.09049953686
98,254915.27968867423,278043.18377423513,217987.44931295194,131281.85027437,195520.81043368578,394403.5376818619,148984.76307505684,312284.2971967519,213370.10789951734,215276.35206022635,57621.24794088011,212934.62581439747,208082.9028482337
99,190161.06146979486,218043.3226287162,201854.7354618966,204572.92081472452,280129.51083025144,483015.702415386,252604.2440854743,200001.92800088626,335386.8709376114,162192.2179286417,189829.77494437172,244404.90091735465,174966.41858157172
