,TTF0,TTF1
258,146245.31874187873,460731.4977042052
259,92234.8393889817,268552.6465605256
260,290503.8248095886,139367.32227895188
261,126621.91053945191,155638.83927223895
262,161920.73962142598,167223.1383109585
263,321537.0764114372,178630.11386518538
264,97602.7144001851,172105.13884815032
265,135862.44065585925,177750.08987652353
266,118547.42707519703,200644.25875208183
267,439418.83954292495,202754.17240304314
268,357328.5940057684,179037.36647970503
269,341374.29613995494,195588.5169640033
270,257094.9012239257,229237.15401938852
271,292353.1786749241,199465.42489477035
272,388886.8742461108,174266.75998834366
273,266770.4398279453,247203.67126629117
274,291631.38412285806,292635.08157844935
275,180444.83454893023,203990.60435238245
276,259307.13617322012,110191.7496054644
277,217964.65637195605,228293.39138921112
278,175164.65430648648,158079.82754393644
279,312401.897461876,301250.30447954626
280,262604.35727271356,262313.3475861548
281,228323.53352732028,120021.33646343203
282,137323.99197538,101657.15896943817
283,320694.1028226977,183668.70017219722
284,330181.8923172584,174469.14037999843
285,276865.5735995213,207878.7318887796
286,485350.91187982284,194579.23119204046
287,137905.14070347784,174476.64940587498
288,215582.9213247829,118504.61776753797
289,310363.73394459847,63441.33507831056
290,285433.36298751814,162003.45387366065
291,430281.50174316764,277012.8530601008
292,279533.33619232115,169332.77872723143
293,290072.86525669205,201460.13544663886
294,194297.83011457144,274830.48733908543
295,122973.78661416308,145533.32724864237
296,242450.38176032863,210441.2639133361
297,298067.2848368498,191476.47457052843
298,324502.8255423638,208461.02335345017
299,90876.96640088611,143856.12691560568
300,344175.7668106687,224976.2636975629
301,237918.99069607636,262525.0986286157
302,217682.0775848221,145900.58756623816
303,255765.58312530225,264518.79846729676
304,208948.58794658753,382562.1233964439
305,209290.7777290425,336371.7666657975
306,187512.6307162305,130523.73511947005
307,128477.6244201905,503050.72896663996
308,252383.13897572126,223051.0140320907
309,426815.88240939926,302330.357648787
310,126050.01164895264,129406.3291248942
311,162361.89350671408,263460.38862621307
312,231963.82349969196,250714.32612919813
313,189533.27891882206,190039.08245257422
314,409735.4053333625,208633.35304774798
315,269615.56361503963,172081.43634664488
316,241570.16744473105,219442.09168495226
317,187116.04162391846,307110.77682282764
318,237676.58383504997,236602.10051894357
319,132337.60283785162,212081.5121755218
320,269296.4478266357,259546.07520702458
321,479225.9004849825,327346.2904387661
322,330170.1835727315,42971.860589452815
323,279309.99713203846,96466.35962120534
324,282501.9099798321,159517.52376561245
325,124034.6847026549,282261.3003680152
326,236918.53898918803,266920.2961560076
327,191927.98135671875,451048.8994302781
328,134562.4989758318,187059.38593294693
329,128627.31837491559,214940.73819126986
330,225572.99552296178,335935.4847415043
331,270989.0736250906,289116.4173303953
332,146344.19832777817,227470.07931293247
333,236505.97450660908,172683.32743659892
334,126149.95038131732,234958.2575925767
335,244405.52981343097,290143.7359017093
336,104278.07990064603,173432.08500539855
337,259631.12797046703,269418.638439615
338,193075.00294065452,131415.07194635528
339,282972.1271235375,305453.9981365076
340,252358.47678230508,287928.3437164142
341,266681.1793251177,197917.2095063883
342,185317.55185996316,280894.1648993082
343,156005.7939123945,178844.8023633323
344,248829.58252307275,187834.89505294152
345,337382.035834619,155222.37225322085
346,243423.88466301144,230750.98307326177
347,200966.56704539695,364206.2567142193
348,250311.18501241243,213525.56596243323
349,207807.1810908911,318759.9202297575
350,202007.14673619534,285771.56274746754
351,442794.8037898145,120879.49127516804
352,332739.52505152504,156128.1205345887
353,227560.94997990076,254276.45941466786
354,319061.1689041386,126069.63560806419
355,303267.84501660755,275931.22908497776
356,311616.30432059173,165739.02616489705
357,167053.99218279574,182126.48145590164
358,283728.7978099325,281080.6100642026
359,188212.54602979048,212883.08016892074
360,305874.66788446205,321566.8247157213
361,211226.3076747911,160011.49598573885
362,355899.11789935746,317833.2637569441
363,245465.54246078056,105003.59507789504
364,301924.4615905495,204761.752823717
365,160587.20832567927,255440.94283765255
366,226674.57783500155,221721.6177739247
367,271662.5219465783,172149.639923402
368,296298.8815482404,192675.98930489834
369,263109.8049959353,291304.7683148097
370,192733.86643970473,301169.08564721624
371,324262.6702573107,222705.74122030678
372,307416.8929436604,18102.933523252017
373,380740.0975767571,351872.89215004595
374,172428.42706581877,228411.88564836286
375,258754.94716248126,230649.63304790546
376,427581.52476733725,216477.65507392844
377,322672.92956595,263667.63567600155
378,147482.52910722303,265234.79408034956
379,182343.45667447412,325870.97656879365
380,168173.0462182479,243860.1384683694
381,199542.08721528575,183785.68405204115
382,297200.8484394061,290904.1785819293
383,233005.1748639675,189249.61138914322
384,277366.11636803625,337517.891081218
385,293447.07262290234,224378.05571710516
386,208789.49344703174,188872.6833319818
387,270344.1124929456,175427.10874785375
388,150249.35735477612,229794.29367236636
389,139663.42246981242,303441.9867262383
390,131814.360760755,223683.9327448296
391,190255.56336115306,314885.31614684826
392,138235.38868637284,132068.4867874182
393,165459.5161201717,250831.62516522055
394,239950.11383284736,338757.8838823795
395,213338.03543185693,219497.3790905159
396,253708.7162376208,206801.46520159562
397,188242.5918139927,347508.105505276
398,256523.86627933878,284973.00418367865
399,391637.1335731539,97727.65939818895
400,188476.71808354944,248996.63451285032
401,72773.02458807637,394908.1108234812
402,140972.60681547035,118718.8889420103
403,312913.0826906653,165977.71438935923
404,199610.52478288114,278300.28989237966
405,279701.12134949974,200182.17007863222
406,110910.7831066195,271183.7603297351
407,216961.86426024916,75556.68084487802
408,291162.1726711581,394028.99987154716
409,280051.79535203933,181249.22280976432
410,218745.60188393312,80281.45507173755
411,201832.57901902287,75482.90367373214
412,322866.66301918624,158620.03900138295
413,392592.7558195447,247615.38958081193
414,186749.24457863768,228378.16954961614
415,297787.7304203887,323304.4710097521
416,125235.61692957453,191536.73149159795
417,120423.95709874434,195150.8601850827
418,381721.2832372169,113590.39465894933
419,112056.85567738433,173405.65984447897
420,247904.23230304822,166212.35218108623
421,195670.69924896816,228709.4921771328
422,118782.68850690524,354397.2781411201
423,130195.34834234134,192604.1315637934
424,150200.63188229722,261888.64184932644
425,209685.16815445173,87461.11979773642
426,247364.92850583413,148782.58636680455
427,302124.0549016834,98828.86128479557
428,118873.92968874947,212496.8888991845
429,172107.75002034154,250330.78342231832
430,185512.05575720355,302889.0898940809
431,161273.5148717902,132164.38796761938
432,237552.22879941328,271850.6772518244
433,398945.91145306703,107739.49526737747
434,144553.62561937174,367282.2944978784
435,186563.07143510174,263652.1910093067
436,274234.18514508096,229153.32755927148
437,112165.26505550303,286512.1134376055
