,TTF0,TTF1,TTF2
148,313951.24440377776,256063.3148246255,179351.17662102764
149,232549.16743206469,66134.00712485459,286161.53443221544
150,229051.482540388,91768.82459867594,238552.03277885847
151,140204.3374409941,217861.91578457854,315143.95351868216
152,185071.83274398756,173897.60446218145,222444.3155847608
153,445954.9230634178,238814.40959595444,248923.75051928536
154,448204.7453009588,343804.6189571343,335558.69613398093
155,239474.99776446735,208099.3959771088,143141.42321701295
156,436485.4183103447,420840.6203230417,158282.38313678926
157,310390.70625062205,324998.18000861316,119277.57174520037
158,239971.9947324955,219539.40134958323,303659.8960284946
159,128308.05406648747,197374.59762926924,102748.1705204497
160,170661.01956396716,333172.8638323529,120980.1978727247
161,119557.5232235712,210775.94855883822,187537.84868842486
162,318867.0013901731,234576.20815779263,248165.5758885255
163,197563.02582248262,360971.96362488123,238258.5519122282
164,149118.04549957276,226452.91414098107,173044.0753559039
165,200065.34799694867,117351.28524836258,322274.5930093968
166,102873.72163607506,258198.9841361842,164253.4281672959
167,151121.71089457336,238879.45788040472,139383.98003802783
168,217962.81076844558,307420.36309662776,141071.4709026844
169,231272.78289141008,187263.7842120404,261618.32738718158
170,119452.91804392268,108380.20549490923,397730.1922060277
171,375253.10797155433,356495.4324138012,308168.02563417016
172,111978.46407046024,171128.11661839363,298492.1188634138
173,350488.0836009562,213204.2134893778,109977.01631690255
174,186425.1603450592,154857.4440601358,312264.53792936524
175,405210.7231837261,250443.67860970635,246576.9752299536
176,250863.17484670185,229405.41533143676,95789.41716620652
177,196265.69681289198,148451.05276826693,262221.7414316626
178,229913.09624062106,268239.80205221777,364842.91301825887
179,133976.33601480388,314772.5035013379,312883.8126523619
180,76719.1755626284,229807.90553998319,188317.79816671144
181,175543.6306712801,177072.56130608247,241337.7243106779
182,60895.85739386043,165678.96004357905,135343.77968831907
183,224829.24821879528,188648.2210051289,410976.26675422845
184,239366.11207262438,294420.9441968708,222609.81667094582
185,181590.90108929618,212246.95686416526,246327.1765004057
186,350121.52828635625,239391.9818698834,245862.53357825463
187,267266.1819502801,165928.84577685146,227609.73055208114
188,278576.785834139,228942.49011384026,320318.65074903367
189,186181.83942461907,191579.9534161432,171396.15280326956
190,232359.92955455568,371078.77954529773,381984.1771195831
191,144301.90468960645,103056.01211751933,335399.8295016678
192,139856.8959179587,87532.92864003917,280522.52343909995
193,213315.24158179917,354869.69474350463,283593.2534781144
194,225570.23839526097,102460.66658333347,183523.7334467616
195,320058.86974028475,136625.19407762832,151487.51052742256
196,200765.59493060195,213430.32499152582,234003.6233149769
197,189857.30852101135,165475.44016800672,298709.71170839056
198,183994.07227648146,155955.57638101175,162224.20244718026
199,409378.9821463312,185654.74149491574,253350.02850308616
200,87584.36389042098,260760.21031439144,154992.9965406827
201,245373.60724680193,331819.95890529174,167900.84851549566
202,201988.77965152147,283613.7187344389,105529.69060805655
203,153860.99688727438,195366.73218954256,139742.46647003054
204,269284.82026742114,302654.850331706,316182.46353562427
205,138480.8690174078,282430.89687248797,121822.37909178798
206,167533.5901304387,447032.73911586124,153058.86999431936
207,316581.5379180397,193807.58003324273,133178.5645331235
208,219154.01126584507,150434.1950603098,317969.28174872155
209,275881.9878900235,237429.87241957302,152615.70039564726
210,211783.3609296896,136647.47887397557,275358.7666971849
211,325332.4900673198,226709.16001836504,158836.64589236726
212,440003.6564096511,118923.4551502202,190914.4740978922
213,335632.6504572942,202991.66258446794,120921.75953990922
214,321248.4608754839,159219.81773756503,204203.67740468754
215,360039.14308654494,126064.93061101793,197607.7834569516
216,191660.29567414444,137070.0267316454,234401.32815189706
217,90113.13619972061,248857.11815386912,218168.59362276236
218,149723.4793825259,304044.80653325113,384545.90690071473
219,176761.34451881258,43415.72445491841,228098.8499236583
220,164018.1426740996,246832.45502985228,127072.92317054165
221,328938.9210293174,162162.68147171056,280446.936934726
222,296548.6451724094,285926.4188828566,186671.50300221244
223,312952.1342197305,81210.03065366406,75226.74752791395
224,375972.4847796862,204421.37385411223,282537.6165740242
225,147365.7817221578,198077.31172836345,261703.48706176644
226,234119.9643101188,313838.95748611225,247012.27664688794
227,125516.51135242546,208024.58077314938,207297.88125442178
228,341135.4252500056,247771.92566280102,264145.22442157794
229,214671.08580108586,125125.79148060338,84625.87447710044
230,155038.79861798737,211462.02963497062,233932.21656077413
231,209927.10495821238,140967.24681362894,171690.5017006506
232,191113.32369573414,274236.8344832943,133433.21193790864
233,188707.36179530533,242535.8946440756,237025.64855576068
234,214659.93749199063,301132.4440018098,221151.5382653767
235,194768.12764023116,213360.5488120421,81629.85240908695
236,213923.73275345864,176139.82587280282,277354.05932352995
237,153176.29696006773,152932.9421846812,162556.2579783069
238,91752.20074940068,390359.31158263155,155058.18441834088
239,196466.54095826574,159362.97966025112,109638.49816464246
240,294397.1268837452,310245.26677299384,290664.8277328308
241,261246.10371128545,273329.6575345,347357.05952952127
242,154030.36849478885,299356.1775663119,165840.33309231774
243,189702.26690353383,249606.28592154646,243018.08137199382
244,227031.88268039405,398228.75384375,281494.5361563704
245,291098.2486767205,102762.30151144424,236375.91282374418
246,151088.88373130833,211464.12014549767,349194.6227762138
247,160576.3963808114,237279.31815349596,206612.89552028547
248,304247.14456642745,282422.19700658275,166503.2867655057
249,219911.87340419588,220783.38660690427,235016.7943823053
250,135612.9651655336,208039.37807993538,285415.33393996453
251,266652.67678131664,458624.2279324839,205721.30415043727
252,296670.2692847998,238032.80900665576,155724.46265440056
253,181967.4274899093,136988.2270601216,154327.5369153968
254,174931.26046528658,365087.8019847104,202720.77787725252
255,152414.57095050134,245960.23970343822,214981.24682037783
256,187006.43483988318,173840.33652314098,215606.67703544832
257,279873.4636544321,265407.1567946415,120496.24603539176
258,184779.34364422027,150594.92112032315,345230.2698176125
259,282074.5551763089,152069.07105430705,280038.41522187705
260,204448.46300674928,251842.59654731088,94998.60152075313
261,93249.00064889833,93082.87036918256,292400.0887162759
262,168561.2804057747,231721.61761611042,338751.3779327633
263,280189.69853366486,93035.15268914988,191489.08054300508
264,308551.8803345935,116294.97578062696,96025.20238446357
265,351797.69346162595,135211.7978239695,287227.12636125484
266,296331.21837655886,411451.0806113915,173921.19446010416
267,188968.80499474856,354573.7726728027,339757.25022133766
268,122317.16039726416,437923.79451134434,201088.35207659425
269,166033.38724500692,152727.56936333678,180840.41585065686
270,211125.03674681875,319445.18858589797,340181.9800134838
271,316595.7467564236,359598.3150525724,234778.81047070975
272,155311.51774314622,270493.1494368395,242367.03384457072
273,284735.4873582148,160157.50559861606,349704.6642713586
274,202916.22320120916,235599.34818153,320786.0363395016
275,292743.6635439341,414588.0924346418,275294.53243497293
276,279422.4360615952,171762.11282785318,215888.07937974538
277,289088.6489269744,224525.54026569612,180599.0736008464
278,112159.98961279777,179190.44089567428,260164.34860700407
279,147299.14493130476,122223.7510408209,142258.603463837
280,186913.31848620114,421106.73727724486,266483.35671905125
281,262262.8906740835,194643.46481508424,151499.2194877355
282,70706.44660388472,275645.74455264234,215678.0537467442
283,202551.43860313983,117061.79425427486,165299.8940627855
284,165433.1589280871,267063.780367116,196299.51135600687
285,291368.8980929192,159340.47307973568,209191.6985124371
286,249652.34339896403,217262.76779118253,301590.3438959381
287,279132.1893219865,101406.52824711829,314963.55169412564
288,250576.9021005819,412878.2058751073,239265.53713293973
289,211817.17097994173,165151.58079769515,281536.6415651342
290,267180.5333182363,192803.47200472624,272543.7523499847
291,149247.15156550473,271972.83339464676,224173.05693598738
292,351515.3029712564,340124.32995500613,183887.14651122704
293,447396.8105534464,128567.20710682072,404397.17942637845
294,128847.3948097118,268600.22543367645,223242.147620568
295,300533.5100855988,161397.97842482742,344462.7861592403
296,251892.49527564575,417549.0352224641,215785.33771468763
297,125844.50271493447,188533.68375246113,275967.9520575985
298,373059.75326928793,449180.95910007093,308423.66993216425
299,158772.0966842688,177541.9873164591,304687.5814638808
300,192045.74350448838,188331.17411286331,223453.02331701823
301,245512.35403415246,214337.7034983167,222300.51366431557
302,225960.77110454495,346054.99196305266,296587.6794972252
303,381780.9588399873,239314.0862911197,304769.6335513495
304,168317.19339832384,344436.5686718089,180602.0857743843
305,122347.65375202536,346887.24664087384,304392.78811899305
306,205702.54022499453,199666.99379007285,136942.34898637445
307,203442.13897651163,53046.49016534561,409425.2931242838
308,421430.89738051954,147266.596864863,83205.76604601016
309,220668.68934442464,285811.7719061901,390541.33864485286
310,377518.36010349495,173189.9285609787,185629.19093533387
311,203258.48711240076,89801.29543216192,277044.09726658516
312,388258.3862805172,113155.67241418934,259775.68913709553
313,189983.0509385172,333971.79066588776,186210.34858271034
314,141001.78833501157,291237.44829700096,238974.1592433184
315,252775.6349254167,240395.03312251772,198176.50287727168
316,265373.9993339486,444149.811381019,162517.99415196283
317,104461.46482757387,236556.8459209043,296608.91715415183
318,178384.1841488913,290421.0237568213,172624.3767876648
319,369069.9243645889,276541.8553666608,237226.68576677004
320,227413.9391257373,215355.9467247518,259093.42629017672
321,157782.0523898044,331250.00733113824,177464.46890360315
322,266799.7739437744,208690.8424275155,100208.87477155364
323,331402.7259794228,296492.8368484246,285015.6562135585
324,142359.95364528848,271449.85078622395,206835.9394326326
325,202738.79194634932,177417.10731296364,99000.4708346665
326,242959.03829889474,244878.45203669046,229432.51846900568
327,199764.50149776286,396044.8295162186,153575.7919816185
328,164558.62827777362,315821.08566877083,319419.98637036927
329,374748.96827807784,246960.2784799312,267604.82978091715
330,255507.50635764457,261172.00995941035,281809.5407753297
331,162354.7563850816,359327.41559249174,373494.67907308316
332,331496.79185590084,310852.17991248786,366622.59594861814
333,273727.6675356993,254247.91602469457,347567.0021590106
334,229928.82202454147,202411.68378933767,205703.2632839544
335,315507.6895621306,123163.74148321967,233933.40515149088
336,239777.80238533037,176153.41670385646,162174.90990579926
337,219221.97612981434,77926.10879438979,277739.14647995256
338,335540.2211972537,369789.0546094114,216803.71990500824
339,119970.64200502743,202070.12724208788,238639.46628984643
340,286771.8345232064,258376.3273991455,227497.60078000728
341,219661.9163516092,63646.54884684881,353158.96596329706
342,251198.0926507805,411465.3197965174,187943.21659870615
343,159466.8728084998,164289.6285476277,395047.282917381
344,251154.8865881231,255358.50763874923,197213.46214095762
345,117180.60312898192,153938.51116746484,86231.35888334046
346,188204.219528926,398028.2465455262,314951.229932845
347,228512.75838591356,270741.90061098867,313797.3966749482
348,313936.3593135115,287638.83190402854,289022.0489088233
349,203320.3867925081,79694.86327848093,344861.5995027339
350,352455.3297443943,203856.314597969,455279.2195100188
351,409104.7018481056,374939.51983641926,223008.50571611366
352,93133.48592036717,151478.1543366916,342227.83845810784
353,201136.63467115865,129440.07113437411,165475.45732007132
354,279928.2321894574,188192.8600169739,307878.29476046225
355,354486.2051781808,190603.714178629,136990.60819873767
356,207565.5157746431,323042.11926253827,90131.38279038336
357,144931.38428192493,93399.13692355604,212483.98714344978
358,320863.59143053694,224977.35523471443,90775.21483650718
359,484239.2229178379,149239.15160441765,203344.29569671836
360,151320.66770924025,154063.31100565352,141655.79860938177
361,278797.1224817596,216244.11355783153,204630.94198697864
362,137799.09070498103,209153.50604801724,87917.37238580313
363,233357.16264454936,382278.50924119656,340873.5620479313
364,424838.48263886326,230669.09047076537,198234.41287870018
365,105264.02527773089,252571.36208019004,146080.02043551917
366,272914.92289522605,218470.45192357482,221375.92298515793
367,225703.21835983987,324531.5009841159,109243.96586240805
368,240162.48870223705,364088.33613082895,455883.17128407
369,337439.11855578027,188675.1005037623,225422.64906676364
370,296870.6691941427,118179.39449339508,343246.5720352672
371,548338.8088117833,84714.84510313999,252276.44451181125
372,218723.2565774952,163937.38818526574,313635.64093002636
373,102494.29685702063,228200.32329213456,390558.50126607507
374,198856.52667620275,132923.01826171178,185245.9236168524
375,215892.12551425232,204416.51864305566,186082.8493622662
376,114253.77309415641,272760.5277375234,281170.30779124214
