time	Core_1,1	Core_1,2
0.1585	46.033	45.0653
0.159	46.033	45.0653
0.1595	46.0331	45.0653
0.16	46.0331	45.0654
0.1605	46.0331	45.0654
0.161	46.0332	45.0654
0.1615	46.0332	45.0654
0.162	46.0332	45.0655
0.1625	46.0333	45.0655
0.163	46.0333	45.0655
0.1635	46.0333	45.0656
0.164	46.0334	45.0656
0.1645	46.0334	45.0656
0.165	46.0334	45.0656
0.1655	46.0335	45.0657
0.166	46.0335	45.0657
0.1665	46.0335	45.0657
0.167	46.0336	45.0657
0.1675	46.0336	45.0658
0.168	46.0336	45.0658
0.1685	46.0336	45.0658
0.169	46.0337	45.0659
0.1695	46.0337	45.0659
0.17	46.0337	45.0659
0.1705	46.0338	45.0659
0.171	46.0338	45.066
0.1715	46.0338	45.066
0.172	46.0339	45.066
0.1725	46.0339	45.066
0.173	46.0339	45.0661
0.1735	46.034	45.0661
0.174	46.034	45.0661
0.1745	46.034	45.0661
0.175	46.034	45.0662
0.1755	46.0341	45.0662
0.176	46.0341	45.0662
0.1765	46.0341	45.0662
0.177	46.0342	45.0663
0.1775	46.0342	45.0663
0.178	46.0342	45.0663
0.1785	46.0342	45.0663
0.179	46.0343	45.0664
0.1795	46.0343	45.0664
0.18	46.0343	45.0664
0.1805	46.0344	45.0664
0.181	46.0344	45.0665
0.1815	46.0344	45.0665
0.182	46.0344	45.0665
0.1825	46.0345	45.0665
0.183	46.0345	45.0666
0.1835	46.0345	45.0666
0.184	46.0346	45.0666
0.1845	46.0346	45.0666
0.185	46.0346	45.0667
0.1855	46.0346	45.0667
0.186	46.0347	45.0667
0.1865	46.0347	45.0667
0.187	46.0347	45.0667
0.1875	46.0348	45.0668
0.188	46.0348	45.0668
0.1885	46.0348	45.0668
0.189	46.0348	45.0668
0.1895	46.0349	45.0669
0.19	46.0349	45.0669
0.1905	46.0349	45.0669
0.191	46.035	45.0669
0.1915	46.035	45.067
0.192	46.035	45.067
0.1925	46.035	45.067
0.193	46.0351	45.067
0.1935	46.0351	45.0671
0.194	46.0351	45.0671
0.1945	46.0351	45.0671
0.195	46.0352	45.0671
0.1955	46.0352	45.0671
0.196	46.0352	45.0672
0.1965	46.0353	45.0672
0.197	46.0353	45.0672
0.1975	46.0353	45.0672
0.198	46.0353	45.0673
0.1985	46.0354	45.0673
0.199	46.0354	45.0673
0.1995	46.0354	45.0673
0.2	46.0354	45.0673
0.2005	46.0355	45.0674
0.201	46.0355	45.0674
0.2015	46.0355	45.0674
0.202	46.0355	45.0674
0.2025	46.0356	45.0675
0.203	46.0356	45.0675
0.2035	46.0356	45.0675
0.204	46.0357	45.0675
0.2045	46.0357	45.0675
0.205	46.0357	45.0676
0.2055	46.0357	45.0676
0.206	46.0358	45.0676
0.2065	46.0358	45.0676
0.207	46.0358	45.0677
0.2075	46.0358	45.0677
0.208	46.0359	45.0677
0.2085	46.0359	45.0677
0.209	46.0359	45.0677
0.2095	46.0359	45.0678
0.21	46.036	45.0678
0.2105	46.036	45.0678
0.211	46.036	45.0678
0.2115	46.036	45.0679
0.212	46.0361	45.0679
0.2125	46.0361	45.0679
0.213	46.0361	45.0679
0.2135	46.0361	45.0679
0.214	46.0362	45.068
0.2145	46.0362	45.068
0.215	46.0362	45.068
0.2155	46.0362	45.068
0.216	46.0363	45.0681
0.2165	46.0363	45.0681
0.217	46.0363	45.0681
0.2175	46.0364	45.0681
0.218	46.0364	45.0681
0.2185	46.0364	45.0682
0.219	46.0364	45.0682
0.2195	46.0365	45.0682
0.22	46.0365	45.0682
0.2205	46.0365	45.0682
0.221	46.0365	45.0683
0.2215	46.0366	45.0683
0.222	46.0366	45.0683
0.2225	46.0366	45.0683
0.223	46.0366	45.0684
0.2235	46.0367	45.0684
0.224	46.0367	45.0684
0.2245	46.0367	45.0684
0.225	46.0367	45.0684
0.2255	46.0368	45.0685
0.226	46.0368	45.0685
0.2265	46.0368	45.0685
0.227	46.0368	45.0685
0.2275	46.0369	45.0685
0.228	46.0369	45.0686
0.2285	46.0369	45.0686
0.229	46.0369	45.0686
0.2295	46.037	45.0686
0.23	46.037	45.0686
0.2305	46.037	45.0687
0.231	46.037	45.0687
0.2315	46.0371	45.0687
0.232	46.0371	45.0687
0.2325	46.0371	45.0688
