,TTF0,TTF1,TTF2,TTF3,TTF4
230,294849.5244796718,295251.0841789802,381114.15735551924,421129.6439045683,267080.137522325
231,217465.832413727,212728.9758167171,131194.27498327434,203344.43677722756,444483.5928494408
232,183449.59413639092,311555.2845368591,240967.1303390191,386078.67511523183,344823.6025377867
233,187164.88799791015,270890.0260203612,178105.76147690293,478259.4579740918,441293.13816116226
234,335267.72130242165,366105.0066334563,222280.42662319337,256625.0488024997,346329.62676723965
235,188519.14081501213,167071.51971194378,303326.52530167636,234598.14072358797,441813.2494656391
236,287958.901973987,413308.9802547043,153849.92901124214,228663.18645518122,306626.1172023739
237,119304.67049302411,372478.75951523334,304939.6778637886,290786.79096249933,419027.47417634533
238,194539.53500445164,283125.9651519522,265906.8648186708,302434.0994292785,233594.44101228061
239,347964.86352879496,206511.93776438385,235251.88497293193,366935.8594358467,299707.38469902263
240,224178.31663927663,296155.96365035255,338765.80915417563,272627.57787476684,244264.70375036623
241,438896.1841902586,170544.16272329303,322860.55064187606,198513.5693911449,506124.96787598723
242,229822.59037293354,196554.12586865324,339641.261236264,379314.6883147955,386636.76527977386
243,62159.52470049934,461478.59013885923,277299.327085126,343032.8675245472,266381.08222299
244,330636.90388822654,179741.5503750464,370221.49056336307,431045.2902103542,220312.01094958524
245,431298.154155322,377085.1762153183,250855.8423129712,336748.1413493556,322257.70712894795
246,214086.5340780876,237403.03626818804,449417.44362013054,260076.16388386986,328557.15740602923
247,287542.1498866343,264460.7462100786,285828.33614350273,282181.51446075493,305762.7230431194
248,143064.78104397404,367007.68972683314,287263.0956961494,268899.0684744506,342674.98036831274
249,370197.9932684816,183631.6920178631,335158.31728576426,340707.57895860047,370685.3040978467
250,217362.3440256191,189322.18738047167,301256.19267420395,204481.94884232883,295327.27840226865
251,219911.31764141866,187977.93718606047,294707.182195168,392668.95888838335,207943.39799743303
252,123271.52089315097,192733.64701644756,305285.4364427794,231645.82366860556,220593.51040432428
253,177768.4899220008,242323.6687410195,399200.83462119056,335539.13503677427,175357.00897603997
254,194759.61060403637,212607.5129280128,299916.7011969964,352803.63531768695,288624.6227078842
255,291580.4806629005,204015.9487620418,282844.63178511756,422912.4521681494,327875.4143725028
256,333735.8237904779,131279.11684710335,133598.6551792656,197972.6414822896,220327.99807155738
257,339035.4801100828,395731.31126001535,249362.80289542477,254315.7465146109,235674.77264007772
258,191251.09284458758,179085.50014326605,104409.40219701703,275582.87880326237,212317.6600425497
259,104681.01353347918,159817.19973039476,223568.45736995174,320525.0791230259,297681.4382171999
260,179512.7851351715,282927.47124398913,235305.5658983037,282593.5884336127,474904.1262833963
261,181115.13243979856,219432.61765655625,174567.94829307476,309256.165641241,269863.8655982104
262,252822.8972540081,94241.29570988315,276414.7893170478,202845.3019095307,254206.1659790814
263,284561.2410516964,417006.151146273,259439.92879592167,192845.59808548237,315272.1649326677
264,181839.7545302138,285302.05660889955,197950.11938468745,271528.6725212728,255131.64296322997
265,265434.9130535979,322883.4032854433,301050.5943352059,247836.7457787609,348956.54563466436
266,100972.26446933034,224915.43519109685,146372.30088584183,406651.63495835045,263563.7836987648
267,361183.35726653354,121227.92481763264,177222.1932103912,319679.99662268476,253389.08913556862
268,222898.6938853776,166708.37266545504,163377.42753852677,262697.41018280457,306995.6315030324
269,146167.54205810325,331709.5115886618,241936.8787769429,257041.53677666085,279352.26341885526
270,108294.3490233411,220486.45585503863,215864.0202903315,398857.56840245146,249513.15870740247
271,242592.64786063368,314611.47956548585,179714.68447544263,402939.8908545249,281130.7729917696
272,162349.54735677375,81840.99419198673,382893.08763594914,237657.741846795,309441.53749610507
273,145287.93558286357,144851.69181200495,289366.85032468877,269222.49573768553,252191.1181363617
274,204512.1009783388,351805.08826444286,324477.7276151519,381647.72839861043,266412.1498471392
275,71266.80925696655,261701.23712656752,327073.9219176803,246424.08452337832,364902.95733687805
276,281259.03086477856,365531.5597121284,285425.2025727058,277429.70724177745,362371.9204141925
277,127839.86938287175,368433.66904868314,222601.75572470354,382191.58611247793,180775.22108629675
278,114111.33211769362,306327.07987842645,292059.15348587313,207718.23777065845,389649.05710873357
279,99005.98949987924,376768.48109450744,315986.26170785684,235465.2556813382,305200.2602788749
280,211994.76684461924,97389.82990994451,261341.2523716161,262974.57781606744,330974.04343563196
281,319569.62503344513,139112.7081295732,171634.2800745353,284392.66449627094,269433.408861792
282,149536.83054843696,172775.9419411186,315723.92898504867,218324.90400012757,362520.1113078947
283,132773.65036561195,232259.04209383953,313476.4032816437,542087.963121243,264005.7418642111
284,327891.2267911824,156253.98525258337,360216.6676651358,309967.604246118,257294.6463077646
285,314971.89956378815,120053.95092727742,435658.42446087755,188119.446923699,312244.28131863335
286,134183.597681582,323373.8416318859,484900.97061994375,467682.36054271605,387493.70017212303
287,498095.30553499766,222095.11913622715,135253.76689898502,184565.26619829648,387856.1798334152
288,192275.6288740008,206618.24801249037,298333.9526444779,323473.1255597512,215596.08776178802
289,174254.99018525472,296133.38580649684,208521.48324022946,252708.4613294133,189658.82380491486
290,214307.19460311267,194898.93819517497,186321.1354133616,433005.01284850854,256273.7231682709
291,105843.03865617303,317673.05086443154,180807.77379336965,167812.90690566748,253810.74558093247
292,239186.7247544682,164549.34527107503,462878.5751981161,303952.80525425926,260441.30778103136
293,372823.2477823191,229048.77681899592,295112.6195421074,220762.72978866508,264314.2327492705
294,94518.48990358748,261311.78197849027,468721.6937922216,309100.6418497795,190924.30628031597
295,163054.8250109529,191943.47870405586,264683.2006984129,308829.29565776885,346670.14528642315
296,287390.9136348837,254207.44496001842,247465.41706834154,232174.0479324255,214978.2027763268
297,139778.75140541242,311927.9710390082,330814.6236015891,399443.53819805116,350282.14999611914
