,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7,TTF8,TTF9,TTF10,TTF11,TTF12,TTF13,TTF14
38,145455.74566920404,285268.1040994765,209454.94368433443,246042.92701024123,201638.218289385,278772.6334126934,350334.479178286,248414.46416054905,300118.90458214795,421587.97963700385,328395.80365917116,315762.03860527877,264717.4340659813,280561.31550446054,319144.73283416085
39,184097.76638922456,326025.5306850353,282023.5164708925,211313.70205205673,262789.9672616833,287956.2516985523,259738.0464639694,191797.16242635596,343819.28900482104,332769.55764400127,333282.0666740525,354865.42515772954,505481.724447301,273607.266417786,437832.0674339422
40,326059.5221059114,123714.58813068215,199415.74049385014,184709.54018070936,191587.61069065792,299347.53840383224,287404.69416224177,328808.2814668979,331972.34612138424,311693.6289212018,417889.3102345589,177472.35808413802,279979.7197058183,388403.43522574985,325467.7463643968
41,176449.3790124217,258608.64221593682,317288.5956202084,290919.4220548124,272048.7542618252,269390.0905049677,290849.0538823626,211627.2510978459,321063.8388532306,372697.72342944855,398822.26505686925,375649.5758434291,350992.4277127771,306391.95094436896,270698.35455070226
42,214006.63097685308,196119.3900262543,320231.48183387524,244301.03901591268,282300.57267213706,307743.00559800316,375176.45810799964,250294.01258823476,297067.8030393129,395456.11500510253,405334.99929798394,333850.9067005119,344325.8495528866,356276.56422841985,452541.72208561393
43,363529.8004046064,277698.27765134815,281416.4716111759,267844.4775990555,207168.83719814444,418943.5663612819,251349.92889896367,409779.3036628142,275309.34831357084,349319.53526375367,302138.4258263431,376040.0116904186,381991.8289248778,241586.59825356267,372219.98178220965
44,241293.52223831438,175598.01219809678,206047.75289161596,342833.1084030408,480449.5868871847,270638.998172879,320388.91016918933,408664.695399475,293831.852988433,254681.0000671909,292508.9314165658,323626.449974297,295251.69129920023,371841.40156230883,422012.9654120449
45,232310.7600501901,223273.54327288465,354935.60549348424,311242.81311247003,294590.8183978713,221098.78898838846,339500.9384985769,239228.42953424412,222418.3537057441,393749.5704322205,390082.849029794,234921.68640885752,522665.8173571046,274088.35208227363,404265.5565777319
46,137569.45455567777,232862.74868931057,178811.85758417376,336562.1169381854,354838.6272232283,286024.32060386124,262203.04705205315,347879.5351495922,241329.93090072478,425057.3302392072,372537.16650419775,336106.88870788924,435251.533594957,480706.0493334285,295789.79617313866
47,218983.63484059775,321499.4157937479,239828.10987128003,215429.49206768494,295497.9956111,324816.8538370953,375368.90612799214,278205.13609518216,398039.7091501426,336085.0938121394,331356.2798304295,304099.1265510317,612590.3280752467,358797.7804635006,428244.3198545921
48,121326.63711809205,191014.21025902702,385346.9821556024,199281.9053335075,327272.23603049235,408731.1167801144,312157.6457356432,365422.3608496361,357120.0070659361,379221.4514226808,579396.1767445588,280039.4253084846,251294.89608229298,291042.7610916884,407065.3301916627
49,185415.29486917294,150681.25205073983,244191.46657843541,340177.6446329925,343113.12759040314,400878.2029626158,225019.13370212252,272620.01771232975,354451.24201258493,238818.95232204767,352418.6744036128,437489.1944474906,386696.4882606199,372715.2958918054,441732.1143130546
