,FFT0,FFT1,FFT2
293,235596.42199956073,79589.108764882,111614.46359676728
294,114757.34830864098,216086.8932096297,22216.042475930368
295,132926.75645801844,80838.78418137609,240411.60897291783
296,133868.62536633498,101116.55657550588,212810.59423073713
297,80224.5504663257,36150.83385883217,103820.66651472978
298,34342.071269302636,70100.25451777266,143677.63805315035
299,139911.82958459284,165200.32758347158,135698.77588226018
300,81389.89892163522,140268.53520623906,184672.00086112288
301,133588.5707972653,100548.94379907475,43125.426761037284
302,170696.79621580103,203107.8375444652,261732.63345151098
303,329725.6443160881,188526.69491618135,223144.24188902407
304,16695.948787618607,227485.0201438559,72328.15761964305
305,60439.80600051663,81655.07413274307,207082.52195690054
306,83153.79699311772,189956.80291697048,110481.21700616958
307,115287.09020087318,50709.52177006788,142170.99913296127
308,344186.6896533637,16190.119361801559,52173.75399994042
309,184046.40550954113,253813.71210211818,356475.32686300925
310,54390.52632536288,139220.50982365687,31153.373307782073
311,123019.69816725154,58007.27778033156,191477.9283271582
312,350937.3281747345,80015.36644632173,85325.2883719848
313,159640.831579472,70741.54112550478,179150.57970726135
314,103627.06562477104,225147.4097256204,202404.41309890558
315,231324.71942321924,220475.95648069424,102004.40400605336
316,42024.00687133829,36586.87918935424,157536.20456188923
317,91224.59891204271,204623.48178972566,145323.5660804547
318,107737.15858050153,217162.38508653975,142056.37270335792
319,133366.0712211406,88751.34512674646,28298.914513335603
320,116079.77605058164,67806.15680370595,216083.1785120783
321,154530.1477049598,133938.74119233238,128353.56886053248
322,116889.10444515667,44075.51200959002,49532.61123534418
323,75480.96794635798,125191.87171340808,93370.14952124993
324,97519.22074943568,216117.91578580235,78952.15883641221
325,83462.01405798302,167570.90346300427,46302.43447395264
326,186013.42754427696,206181.9907859387,146666.10347036715
327,178567.20723643777,167584.44586454335,151960.8423634675
328,146397.97048511653,293211.5981308022,144714.9389486826
329,310774.46348194324,64459.48500974032,219541.7305196736
330,218639.70194708495,113114.80882334281,156244.52282609374
331,59564.68462122637,245340.92181313012,317316.904713967
332,85524.3480827736,128261.00414337504,82610.2513711635
333,220911.7901309604,43107.79501212557,110412.98630462727
334,180807.56487542897,185151.593171401,160886.22881370346
335,99746.08186506906,59212.39440874022,105542.41042557053
336,151646.99168935628,114954.83551454473,150270.73970862365
337,193003.98465491456,70387.048602595,263168.25932740275
338,259143.32347563343,245815.56640702597,90242.30570559412
339,75942.38454752242,198668.98317524572,208432.0357671125
340,186552.69165363544,23821.884188079915,24298.454400866878
341,197356.80438086248,50691.210296837504,59428.98354547453
342,154624.87959998744,148134.77568444386,127021.35452916352
343,85642.25102351388,137079.8838689333,390752.7934983632
344,151834.96348808234,223055.16834826383,174971.99055479906
345,82389.51048389076,5580.609971162542,82509.54519601256
346,165774.81113100797,293467.2244370249,83430.11209226548
347,216692.26707978777,58189.05847997008,155602.39650482067
348,121022.93032334161,158151.625042032,189618.7019636511
349,182186.60635193528,29477.77657938968,189406.0333126575
350,60010.11927050795,191678.86086896903,395380.38143669843
351,253676.41340672274,59098.544908413074,169293.57510285743
352,50971.071543026344,88353.83375561058,211498.4577394746
353,140779.46422719763,98699.78472675211,150677.8414681385
354,253177.70783097923,73116.45590556585,262271.0740095888
355,196425.5681084751,109694.16494571436,113720.4976778207
356,80156.15620077339,89806.50710290953,66880.3422352644
357,67317.32387364625,34947.49951429297,113618.49250602273
358,163516.9357272118,147901.71363639328,83602.49420970264
359,89285.1423804879,74375.74231030603,162575.05019411375
360,124633.6949848258,104900.67040501557,77471.26329640184
361,81127.3671508515,195335.10007207308,24734.917015582843
362,68724.71818083993,154547.39059510123,19217.041404174164
363,65074.594582161895,186843.10533503955,236765.98271218743
364,62946.91557173102,201935.4347171098,14831.653609256004
365,83341.84504450142,105204.54978485756,91190.71946588962
366,171683.9990758228,217002.18765596824,115442.22464546173
367,194037.18613192858,73775.60959272203,106601.22294099958
368,187919.18122209792,133698.6903350021,309099.14738571993
369,27824.88647415481,82144.08965816766,151538.8435524319
370,155463.21323849043,64423.69176490322,160196.59711885414
371,109769.62754611131,60973.08324825402,118289.85419372491
372,86531.62710156731,127322.9811377644,158550.187071227
373,30137.163252438837,50820.66186952025,249274.37049924184
374,112063.83695372393,28163.8377567549,139396.5110227202
375,104730.68621208447,43274.49885721386,71078.91710867333
376,79307.13676529963,168874.68195823982,232796.59528535063
377,99350.61655977849,98385.87198915335,118131.85298350813
378,232397.6342167864,136551.56891065216,109012.04603241032
379,105882.20611043072,210958.51508702667,8627.222155144962
380,113446.00689752905,147064.70133068316,85166.63101779026
381,82331.40464539178,45749.18544458247,118130.4301333733
382,27111.08683667227,82709.87559441246,66664.69319116657
383,106927.32546208538,248074.11879496786,128110.53813740992
384,363726.56366071163,259846.14644124763,83098.88685365669
385,136120.07683076942,131847.77375833926,208296.14077931968
386,141013.70482334943,165923.934044685,61151.59646966864
387,42021.46099980455,179657.92202490498,54804.28266804743
388,199333.14727848014,71990.40388823817,58163.85164392871
389,70211.10818043443,61999.0581583751,133053.2527289708
390,162493.82622731544,73559.03704202281,37940.93648182774
391,127922.84958837344,152397.87470340647,176199.11348577612
392,141452.26178242388,135517.91424481792,198846.5522164471
393,19489.06892833584,197385.28912806557,172548.79848277927
394,206427.19493583983,65899.83545977197,128143.65042877525
395,133307.18306517176,26802.557327500763,85391.69373597484
396,182284.16787312555,117648.77155265468,64694.01032769424
397,148526.44278894534,47215.49687350095,297257.4409772723
398,101211.35455994656,21526.09022840785,189801.53521305337
399,63059.127156741946,32673.399613353275,84705.50911948452
400,202819.67378844597,47383.05823188173,40308.78269762195
401,134463.22367003647,102241.52147952262,169522.86894396204
402,51383.47633974172,105891.8095826469,55690.65110150743
403,84198.0178601818,85467.09670463338,66889.21043047296
404,192803.39409238167,56458.66582746069,76366.88451149125
405,130047.13181705803,159459.63957616856,219300.1637473042
406,151618.17464566082,46001.71377660724,28619.114855952466
407,37356.34150496589,138364.20866702296,240439.84982264432
408,220759.9167741131,20907.109203716598,148424.70136655663
409,81075.35098271263,85704.18081984902,200659.76704112886
410,252695.91222465018,189369.45827730244,209736.11341600158
411,62526.32051279622,96788.72391980358,137503.77549679283
412,139029.45612189794,118382.93787261954,140567.66146091238
413,27313.067431536077,160305.06951112975,67537.35103829503
414,33738.86585254351,136487.96654300726,184154.96372356397
415,102349.92798354242,65764.80680394519,119828.28643685942
416,45521.15052983874,35469.239978787075,135478.58353566405
417,105574.66906223212,104012.9317135187,236779.417467563
418,75249.86230846588,244956.73621185927,185497.09911317515
419,252796.10798200677,73515.2523126453,128848.06339710213
420,120631.22481879126,236236.37191294623,251552.83585735032
421,107783.41635641232,179532.62029396402,72983.18172783146
422,116603.69205580025,117856.56889770358,143363.035853315
423,161931.8708512141,205409.86824874202,228697.2981867908
424,149129.68952341622,69567.80500495875,35285.763538600906
425,63569.612503155964,128851.37673118168,265352.8693197071
426,87268.6429658548,213783.15327776846,98242.90586664413
427,39513.8540532683,158184.6420126424,89628.97664694229
428,81195.14523501096,117924.69657908431,79095.2809843536
429,342491.84916836635,78629.93113506013,117001.34886873863
430,274819.5307978066,133581.3872356228,235327.89418458025
431,63585.511526974355,67269.08572907172,90696.89158015598
432,130002.33656358955,103512.05745459844,85509.73997390871
433,253763.79608482134,130906.2884808061,148714.6105246042
434,129638.38807187954,134963.4061066997,228912.1819488739
435,114245.57347754043,155847.99863621805,162027.94352848254
436,65523.25692609295,114000.61458238035,284855.18567409937
437,80235.75094479207,216737.9365020025,127849.08524707104
438,194980.98929623363,103947.72921875639,215354.3040908271
439,87640.72424119036,80216.7464081011,131151.53066596825
440,147431.6256472585,209372.97020371578,43453.458120830124
441,167587.29577208095,308514.6760638077,33693.110461070384
442,27345.81160887188,12447.716520687956,176826.988743146
443,78835.05050300133,106916.11601271688,274714.6758692095
444,44046.58277373623,110965.35532993697,145359.74905981403
445,88413.45127621666,195371.83690956535,177255.99589978182
446,123064.96061115093,105042.41840264335,237647.4581037839
447,165486.44820737097,129656.73205003428,150963.97883154996
448,121205.98536325563,25146.9566801408,102225.85243535225
449,255624.78589527172,94465.78954778006,151864.0453278541
450,145958.4707580822,52340.97742573691,31087.792979398568
451,81213.3866614958,187344.38866475047,193540.2345895763
452,73192.85620166316,202628.4097751116,29331.171814052523
453,183765.27531431912,37373.31085536712,147801.73728130388
454,85738.3165743401,106375.9023863435,230712.0628653806
455,107340.93485682576,62021.39936085175,164898.16570427132
456,247695.511863521,288790.0060909185,78756.23188832351
457,90400.27001382568,147842.64559034954,142813.7178407927
458,104704.30853940018,31364.752141519617,107327.8854333934
459,47123.29845926361,70169.12495004645,109139.29687458217
460,126726.37980043181,141094.6108878825,124845.3346352791
461,54111.133376735124,141530.02169542853,122876.83458400884
462,223478.80002203686,145123.2595462357,128636.19851692357
463,180354.18555693145,295437.8992289288,74755.06157102251
464,171740.96025878153,121925.2649455578,20989.380158143278
465,125865.81734599354,204933.72377054294,107875.9776666256
466,17547.67122865877,109760.43456975176,105883.61706009315
467,185694.26307695612,191361.3708321854,33754.283303827586
468,216934.9454435384,49145.62402350199,205970.83416847265
469,49474.03273409608,139423.43269970707,17009.179077276167
470,211995.28556106068,172634.34441716957,278392.6418828315
471,105803.48352461113,104874.93171307379,213380.66672805854
472,298502.64193601505,72775.69845231669,77803.6059516056
473,101176.86831932761,253404.84657970656,187007.50218480907
474,62435.79695914322,56301.21381365634,172492.94714036002
475,185715.1093242755,165888.0443966484,120974.25440581396
476,167569.63451931946,95520.75483206491,124585.81267373679
477,229308.6919189391,128838.63321937964,63274.85255450273
478,158248.68343949137,98006.90268212481,94061.47012836949
479,128959.77586860495,207719.8763372213,239574.72827889788
480,101384.61935484463,100064.2243757599,142674.57451365443
481,99002.5178714208,120435.78134463228,136286.1175369494
482,152886.48258665472,42110.51370050622,67832.13442969437
483,112152.0921649041,70899.70963128164,196649.33797048352
484,128596.14291579451,239123.45429952137,107549.04898125929
485,83970.86104584762,115700.52190761581,89484.62351385124
486,175807.4839750662,109179.10919244488,102434.77762990758
487,284992.9298560917,107171.37129402137,160048.47414399328
